"w1","prediction","rank"
"a","closer",39
"a","closet",26
"a","closeup",8
"a","closing",4
"a","clothes",5
"a","cloud",21
"a","cloudy",7
"a","clown",16
"a","club",48
"a","clue",30
"a","cluster",14
"a","clutch",8
"a","cnn",3
"a","coach",54
"a","coaching",9
"a","coalition",22
"a","coaster",4
"a","coat",22
"a","cocktail",34
"a","code",20
"a","coffee",69
"a","coffin",6
"a","cognitive",4
"a","coherent",5
"a","cohesive",6
"a","coin",14
"a","coincidence",23
"a","coke",11
"a","cold",113
"a","collaboration",18
"a","collaborative",5
"a","collage",8
"a","collar",4
"a","colleague",11
"a","collection",73
"a","collective",17
"a","collector",10
"a","college",94
"a","color",34
"a","colorado",5
"a","colorful",16
"a","column",17
"a","coma",18
"a","combination",95
"a","combined",50
"a","comeback",31
"a","comedian",10
"a","comedy",32
"a","comfort",8
"a","comfortable",24
"a","comfy",6
"a","comic",26
"a","command",7
"a","commanding",12
"a","comment",142
"a","commenter",3
"a","commercial",56
"a","commission",10
"a","commitment",29
"a","committee",30
"a","common",70
"a","communist",9
"a","community",106
"a","companion",22
"a","company",136
"a","comparable",5
"a","comparison",9
"a","compassionate",9
"a","compelling",18
"a","competent",3
"a","competition",33
"a","competitive",30
"a","compilation",7
"a","complaint",28
"a","complete",135
"a","completely",44
"a","complex",31
"a","complicated",24
"a","compliment",30
"a","complimentary",10
"a","composer",5
"a","composite",4
"a","compost",3
"a","comprehensive",29
"a","compromise",26
"a","computer",77
"a","concentration",6
"a","concept",19
"a","concern",22
"a","concert",57
"a","condition",23
"a","condo",9
"a","condom",10
"a","cone",8
"a","conference",89
"a","confession",10
"a","confidence",6
"a","confident",11
"a","confirmation",9
"a","confirmed",4
"a","conflict",19
"a","confrontation",16
"a","confused",6
"a","confusing",6
"a","connection",19
"a","conscience",3
"a","conscious",14
"a","consequence",14
"a","conservative",32
"a","consistent",24
"a","conspiracy",12
"a","constant",55
"a","consultant",34
"a","consumer",19
"a","container",18
"a","contemporary",15
"a","contender",10
"a","content",10
"a","contest",34
"a","continuation",3
"a","continued",6
"a","continuum",6
"a","contract",86
"a","contributing",6
"a","contribution",9
"a","contributor",6
"a","control",10
"a","controlled",22
"a","controversial",24
"a","convenient",11
"a","convention",8
"a","conventional",7
"a","conversation",79
"a","convertible",6
"a","convicted",10
"a","convincing",8
"a","cookbook",6
"a","cookie",39
"a","cooking",19
"a","cool",146
"a","cooler",7
"a","cooling",9
"a","cooper",3
"a","cooperative",5
"a","cop",30
"a","copy",167
"a","core",15
"a","cork",4
"a","corner",53
"a","corporate",27
"a","corporation",8
"a","corresponding",4
"a","cosmetic",4
"a","costume",13
"a","couch",19
"a","cough",6
"a","counter",14
"a","country",82
"a","countrys",4
"a","coup",9
"a","couple",1209
"a","couples",5
"a","coupon",25
"a","course",36
"a","court",57
"a","cousin",12
"a","cover",41
"a","cow",20
"a","cowboy",24
"a","coworker",20
"a","coyote",9
"a","cozy",12
"a","crab",5
"a","crack",26
"a","cracked",7
"a","craft",19
"a","crafty",4
"a","craigslist",4
"a","crane",6
"a","crappy",12
"a","crash",28
"a","craving",8
"a","crawfish",3
"a","crazy",102
"a","cream",9
"a","creative",45
"a","creator",4
"a","creature",13
"a","credible",9
"a","credit",53
"a","creepy",14
"a","crew",18
"a","crib",8
"a","cricket",4
"a","crime",80
"a","criminal",57
"a","crisis",37
"a","critic",9
"a","critical",33
"a","crock",4
"a","crop",7
"a","cross",30
"a","crosscountry",5
"a","crossover",4
"a","crossroads",8
"a","crowd",44
"a","crowded",16
"a","crown",10
"a","crucial",23
"a","cruel",11
"a","cruise",28
"a","crumpled",3
"a","crunch",4
"a","crunchy",3
"a","crush",36
"a","cry",7
"a","crying",4
"a","crystal",14
"a","cubs",7
"a","cucumber",7
"a","culinary",9
"a","cult",17
"a","cultural",16
"a","culture",34
"a","cup",103
"a","cupcake",21
"a","cure",25
"a","curious",12
"a","currency",5
"a","current",20
"a","curriculum",6
"a","curse",15
"a","curve",7
"a","cushion",13
"a","custom",28
"a","customer",46
"a","cut",40
"a","cute",85
"a","cutting",10
"a","cycle",9
"a","cycling",3
"a","czech",3
"a","d",30
"a","dab",3
"a","dad",21
"a","daily",73
"a","dairy",10
"a","dallas",6
"a","damn",73
"a","dance",48
"a","dancer",16
"a","dancing",6
"a","danger",22
"a","dangerous",39
"a","danish",3
"a","dark",107
"a","darker",6
"a","darling",6
"a","darn",6
"a","dash",22
"a","dashboard",4
"a","data",11
"a","database",15
"a","date",107
"a","daughter",39
"a","day",914
"a","days",23
"a","daytona",3
"a","dazzling",8
"a","dc",11
"a","de",4
"a","dead",61
"a","deadline",17
"a","deadly",21
"a","deal",157
"a","dear",19
"a","death",31
"a","debate",40
"a","debris",4
"a","debt",10
"a","debut",4
"a","decade",172
"a","decent",108
"a","decision",142
"a","declaration",6
"a","dedicated",24
"a","deep",125
"a","deeper",24
"a","deer",12
"a","default",6
"a","defender",4
"a","defense",25
"a","defensive",30
"a","deficit",27
"a","definite",26
"a","definition",6
"a","degree",74
"a","delay",17
"a","delicate",17
"a","delicious",61
"a","delight",11
"a","delightful",8
"a","delivery",10
"a","democrat",56
"a","democratic",32
"a","demonstration",18
"a","den",4
"a","denial",4
"a","denim",3
"a","dental",11
"a","dentist",8
"a","department",14
"a","deposit",7
"a","depressed",4
"a","depression",5
"a","depth",12
"a","deputy",23
"a","derivative",3
"a","descendant",4
"a","description",10
"a","deserving",6
"a","design",26
"a","designated",10
"a","designer",22
"a","desire",29
"a","desk",24
"a","desktop",8
"a","desperate",13
"a","dessert",21
"a","destination",22
"a","destructive",4
"a","detailed",25
"a","deterrent",13
"a","detour",10
"a","detroit",9
"a","devastating",18
"a","device",16
"a","devil",6
"a","diabetic",6
"a","dialogue",3
"a","diamond",13
"a","diaper",7
"a","dictionary",9
"a","diehard",13
"a","diesel",3
"a","diet",32
"a","difference",164
"a","different",457
"a","difficult",70
"a","dig",3
"a","digital",38
"a","dilemma",10
"a","dim",3
"a","dime",30
"a","dinner",39
"a","dinosaur",10
"a","dip",7
"a","direct",67
"a","direction",8
"a","directory",4
"a","dirt",6
"a","dirty",20
"a","disability",10
"a","disabled",5
"a","disappointing",16
"a","disappointment",11
"a","disaster",40
"a","disastrous",8
"a","disc",7
"a","disco",9
"a","disconnect",5
"a","discount",50
"a","discounted",8
"a","discovery",5
"a","discussion",50
"a","disease",20
"a","disgrace",10
"a","dish",34
"a","dishwasher",5
"a","disk",3
"a","disney",13
"a","disorder",6
"a","disproportionate",6
"a","disservice",9
"a","dissident",3
"a","distance",33
"a","distant",25
"a","distinct",14
"a","distinction",7
"a","distinguished",8
"a","distraction",20
"a","district",31
"a","disturbing",9
"a","diva",5
"a","dive",8
"a","diverse",21
"a","diving",9
"a","division",26
"a","divorce",24
"a","dj",19
"a","doctor",85
"a","doctors",18
"a","document",16
"a","documentary",31
"a","dog",160
"a","dogs",4
"a","doll",19
"a","dollar",57
"a","dolphin",11
"a","domestic",27
"a","domino",3
"a","donation",37
"a","done",6
"a","donut",14
"a","door",38
"a","doozy",7
"a","dose",9
"a","dot",7
"a","double",151
"a","doubleedged",4
"a","doubt",36
"a","down",30
"a","downed",4
"a","downtown",23
"a","dozen",192
"a","draft",28
"a","drag",28
"a","dragon",9
"a","drama",17
"a","dramatic",45
"a","drastic",5
"a","draw",14
"a","drawing",22
"a","drawn",4
"a","dream",204
"a","dreamer",12
"a","dreamy",4
"a","dreary",6
"a","dress",52
"a","drink",132
"a","drinking",9
"a","drive",33
"a","driver",31
"a","driving",23
"a","drop",48
"a","drug",63
"a","drum",7
"a","drunk",12
"a","drunken",19
"a","dry",30
"a","dryer",3
"a","dual",9
"a","duck",13
"a","dud",5
"a","dude",41
"a","dull",21
"a","dumb",26
"a","dumpster",12
"a","duo",5
"a","durable",4
"a","dutch",6
"a","duty",15
"a","dvd",17
"a","dying",8
"a","dynamic",14
"a","early",5
"a","emotional",3
"a","era",67
"a","euphemism",6
"a","european",23
"a","fabulous",106
"a","face",38
"a","facebook",60
"a","facial",4
"a","fact",46
"a","factor",38
"a","factory",12
"a","failed",17
"a","failure",45
"a","faint",8
"a","fair",103
"a","fairly",55
"a","faithful",9
"a","fake",46
"a","fall",20
"a","fallen",3
"a","falling",8
"a","false",26
"a","familiar",39
"a","family",276
"a","famous",30
"a","fan",303
"a","fancy",32
"a","fans",4
"a","fantastic",155
"a","fantasy",17
"a","far",44
"a","farewell",9
"a","farm",36
"a","farmer",13
"a","farmers",9
"a","fascinating",27
"a","fashion",34
"a","fashionable",4
"a","fast",47
"a","faster",12
"a","fat",34
"a","fatal",21
"a","father",35
"a","faulty",6
"a","favor",44
"a","favorite",80
"a","fax",6
"a","fear",18
"a","feast",11
"a","feather",11
"a","feature",39
"a","federal",165
"a","fee",35
"a","feel",21
"a","feeling",103
"a","feisty",5
"a","fellow",58
"a","felony",23
"a","female",64
"a","feminist",12
"a","festival",12
"a","fetish",5
"a","fever",16
"a","few",3368
"a","fiction",4
"a","fictional",12
"a","field",68
"a","fifth",27
"a","fight",99
"a","fighter",13
"a","figment",7
"a","figure",17
"a","file",9
"a","filler",5
"a","film",107
"a","filmmaker",6
"a","final",110
"a","finalist",20
"a","financial",61
"a","fine",154
"a","finger",15
"a","finish",10
"a","fire",113
"a","firefighter",15
"a","fireplace",9
"a","firm",52
"a","first",121
"a","firstclass",6
"a","fish",33
"a","fishing",9
"a","fist",13
"a","fistfight",6
"a","fit",22
"a","fitness",15
"a","fitting",13
"a","five",17
"a","fix",9
"a","fixed",14
"a","fixture",14
"a","flame",8
"a","flash",23
"a","flashback",5
"a","flashlight",8
"a","flashy",4
"a","flat",51
"a","flattering",4
"a","flaw",8
"a","flea",6
"a","fleet",9
"a","flight",51
"a","flip",9
"a","floaty",3
"a","flood",16
"a","floor",15
"a","flop",6
"a","florida",16
"a","flower",27
"a","flu",4
"a","fluid",4
"a","fluke",6
"a","fly",22
"a","flying",10
"a","foam",7
"a","focus",14
"a","fog",7
"a","foiled",3
"a","folk",7
"a","follow",108
"a","follower",46
"a","following",13
"a","followup",19
"a","fond",6
"a","font",8
"a","food",75
"a","foodie",7
"a","fool",68
"a","foolish",4
"a","foot",128
"a","football",54
"a","footnote",4
"a","for",58
"a","force",38
"a","forced",5
"a","foreign",43
"a","forest",13
"a","fork",42
"a","form",52
"a","formal",43
"a","format",3
"a","former",343
"a","formula",10
"a","fort",5
"a","forthcoming",3
"a","fortress",5
"a","fortune",24
"a","forum",11
"a","foster",10
"a","foul",27
"a","foundation",11
"a","founding",11
"a","fountain",7
"a","four",29
"a","fourth",47
"a","fox",7
"a","fraction",27
"a","frail",3
"a","frame",14
"a","framework",7
"a","frank",5
"a","frantic",8
"a","fraud",10
"a","freak",34
"a","free",432
"a","freedom",6
"a","freelance",10
"a","freelancer",3
"a","freezer",4
"a","french",42
"a","frenzy",6
"a","frequent",17
"a","fresh",107
"a","freshly",5
"a","friday",75
"a","fried",8
"a","friend",508
"a","friendly",43
"a","friends",46
"a","friendship",6
"a","fringe",6
"a","frog",6
"a","from",12
"a","front",25
"a","frosty",4
"a","frozen",19
"a","fruit",26
"a","frustrating",12
"a","frying",13
"a","fuel",4
"a","fulfilling",4
"a","full",317
"a","fullblown",9
"a","fulllength",10
"a","fullon",7
"a","fullscale",7
"a","fulltime",23
"a","fully",20
"a","fun",291
"a","function",11
"a","functional",8
"a","functioning",10
"a","fundamental",14
"a","funding",8
"a","fundraiser",32
"a","funeral",24
"a","funnel",4
"a","funny",57
"a","further",16
"a","fuss",8
"a","futile",7
"a","future",86
"a","fuzzy",5
"a","g",14
"a","gag",7
"a","gaggle",3
"a","gain",7
"a","gallery",18
"a","gallon",50
"a","gamble",5
"a","game",418
"a","gaming",6
"a","gangster",5
"a","gap",15
"a","garage",19
"a","garbage",9
"a","garden",42
"a","gas",32
"a","gate",8
"a","gateway",8
"a","gathering",18
"a","gazillion",6
"a","gem",18
"a","general",66
"a","generation",34
"a","generic",5
"a","generous",29
"a","genetic",5
"a","genius",40
"a","genre",6
"a","gentle",27
"a","gentleman",16
"a","genuine",20
"a","genuinely",7
"a","german",25
"a","gesture",6
"a","get",15
"a","ghastly",3
"a","ghost",38
"a","giant",108
"a","giants",8
"a","gift",208
"a","gifted",6
"a","gig",27
"a","gigantic",8
"a","gimmick",10
"a","gingerbread",5
"a","girl",345
"a","girlfriend",40
"a","girls",38
"a","give",4
"a","giveaway",29
"a","given",45
"a","glance",12
"a","glass",123
"a","glimpse",59
"a","global",54
"a","glorified",5
"a","glorious",25
"a","glove",8
"a","glowing",9
"a","glue",8
"a","gluten",5
"a","glutenfree",7
"a","go",63
"a","goal",102
"a","goat",9
"a","god",53
"a","goddess",5
"a","godsend",6
"a","gogo",4
"a","going",7
"a","gold",42
"a","golden",37
"a","golf",33
"a","good",3091
"a","goodbye",5
"a","goof",4
"a","goofy",6
"a","google",26
"a","goose",8
"a","gorgeous",73
"a","gospel",5
"a","goto",6
"a","gourmet",7
"a","government",72
"a","gps",10
"a","graceful",6
"a","grade",20
"a","gradual",11
"a","graduate",58
"a","grain",8
"a","grammy",7
"a","grand",80
"a","grant",33
"a","grape",3
"a","graphic",18
"a","gray",15
"a","great",3430
"a","greater",57
"a","greek",16
"a","green",60
"a","greenhouse",3
"a","grenade",7
"a","grey",6
"a","grid",4
"a","grill",9
"a","grilled",9
"a","grind",6
"a","grip",5
"a","gripping",4
"a","grocery",25
"a","gross",7
"a","ground",12
"a","groundbreaking",6
"a","group",340
"a","growing",86
"a","grown",29
"a","grownup",9
"a","grumpy",6
"a","guarantee",8
"a","guard",28
"a","guess",14
"a","guest",67
"a","guide",23
"a","guild",4
"a","guilty",10
"a","guinea",8
"a","guitar",24
"a","gun",96
"a","gunfight",4
"a","gunshot",13
"a","gut",7
"a","guy",323
"a","guys",10
"a","gym",28
"a","gypsy",4
"a","h",6
"a","habit",36
"a","hack",3
"a","hair",41
"a","haircut",40
"a","half",310
"a","halfmarathon",5
"a","hall",12
"a","halloween",10
"a","halt",11
"a","hamburger",6
"a","hammer",20
"a","hamster",6
"a","hand",71
"a","handful",145
"a","handheld",8
"a","handicap",4
"a","handle",13
"a","handmade",9
"a","hands",4
"a","handshake",14
"a","handsome",16
"a","handson",8
"a","handy",10
"a","hanger",4
"a","hanging",4
"a","hangover",23
"a","happier",4
"a","happy",277
"a","hard",252
"a","harp",5
"a","harvard",10
"a","has",5
"a","hat",51
"a","hate",21
"a","haunted",4
"a","haunting",8
"a","haze",5
"a","he",15
"a","head",55
"a","headache",40
"a","headband",4
"a","headline",9
"a","heads",18
"a","health",32
"a","healthier",8
"a","healthy",131
"a","heap",8
"a","hearing",52
"a","heart",146
"a","heartbeat",10
"a","heartbreaking",6
"a","heartfelt",4
"a","hearty",16
"a","heat",25
"a","heavier",7
"a","heavy",71
"a","heck",17
"a","hectic",5
"a","hefty",18
"a","helicopter",16
"a","hell",33
"a","helluva",10
"a","helmet",17
"a","help",8
"a","helping",6
"a","herd",7
"a","hero",37
"a","heroic",7
"a","heroin",6
"a","hey",10
"a","hidden",23
"a","hideous",8
"a","high",267
"a","highend",6
"a","higher",94
"a","highlight",17
"a","highly",49
"a","hightech",8
"a","hike",16
"a","hilarious",11
"a","hill",24
"a","hint",70
"a","hip",17
"a","his",4
"a","historian",9
"a","historic",29
"a","historical",18
"a","history",63
"a","hit",133
"a","hitch",9
"a","hobby",15
"a","hockey",27
"a","hold",29
"a","holding",10
"a","hole",87
"a","holiday",68
"a","holistic",6
"a","holler",3
"a","hollywood",10
"a","home",268
"a","homeless",30
"a","homemade",18
"a","homer",15
"a","hometown",8
"a","homicide",15
"a","homosexual",3
"a","honda",14
"a","honeymoon",8
"a","hoodie",14
"a","hook",9
"a","hoop",5
"a","hoot",13
"a","hop",10
"a","hope",7
"a","horizon",4
"a","horrible",41
"a","horribly",4
"a","horror",15
"a","horse",51
"a","hospice",3
"a","hospital",88
"a","host",38
"a","hostage",3
"a","hot",185
"a","hotbed",4
"a","hotel",92
"a","hour",82
"a","house",219
"a","household",10
"a","housewife",4
"a","housing",12
"a","howto",5
"a","hr",21
"a","hug",57
"a","huge",615
"a","human",91
"a","humble",9
"a","hunch",6
"a","hundred",58
"a","hungry",6
"a","hunt",5
"a","hurricane",13
"a","hurry",25
"a","husband",26
"a","hybrid",9
"a","hypothetical",4
"a","i",108
"a","if",25
"a","in",41
"a","inch",43
"a","increase",10
"a","is",24
"a","it",38
"a","jack",9
"a","jacket",21
"a","jail",13
"a","jam",14
"a","james",9
"a","japanese",22
"a","jar",31
"a","jaunty",4
"a","jazz",10
"a","jealous",7
"a","jeep",11
"a","jerk",26
"a","jersey",18
"a","jet",11
"a","jew",14
"a","jewish",20
"a","job",419
"a","john",9
"a","joint",55
"a","joke",144
"a","journal",15
"a","journalist",34
"a","journey",38
"a","joy",35
"a","joyous",5
"a","judge",90
"a","judgment",10
"a","juicy",7
"a","jump",27
"a","junior",75
"a","jury",44
"a","just",17
"a","k",49
"a","kangaroo",4
"a","keeper",8
"a","keg",9
"a","kentucky",4
"a","key",151
"a","kick",35
"a","kid",195
"a","kiddie",3
"a","kidney",8
"a","kids",24
"a","kill",8
"a","killer",38
"a","killing",9
"a","kind",100
"a","kindle",25
"a","kindred",3
"a","king",25
"a","kings",3
"a","kiss",47
"a","kit",9
"a","kitchen",37
"a","kite",12
"a","kitten",11
"a","knack",14
"a","knee",28
"a","knife",56
"a","knight",6
"a","knob",4
"a","knockout",5
"a","known",9
"a","la",63
"a","lab",12
"a","label",16
"a","labor",16
"a","lack",104
"a","ladder",10
"a","ladies",7
"a","lady",54
"a","laidback",4
"a","lake",18
"a","lamb",7
"a","lame",10
"a","lamp",7
"a","land",24
"a","landing",5
"a","landscape",7
"a","language",21
"a","lap",17
"a","laptop",28
"a","large",531
"a","larger",88
"a","last",29
"a","lastminute",13
"a","late",80
"a","later",29
"a","latin",8
"a","laugh",39
"a","laughing",4
"a","launch",9
"a","laundry",5
"a","lavish",6
"a","law",109
"a","lawsuit",53
"a","lawyer",73
"a","layer",23
"a","lazy",28
"a","lead",158
"a","leader",93
"a","leadership",12
"a","leading",35
"a","leaf",12
"a","league",27
"a","leak",10
"a","leaky",5
"a","lean",7
"a","leap",13
"a","learning",21
"a","lease",8
"a","leash",12
"a","lecture",16
"a","left",20
"a","leftwing",3
"a","leg",37
"a","legacy",18
"a","legal",71
"a","legend",28
"a","legendary",8
"a","legit",22
"a","legitimate",29
"a","lemon",25
"a","length",7
"a","lesbian",19
"a","less",33
"a","lesser",19
"a","lesson",59
"a","lethal",9
"a","letter",186
"a","level",51
"a","liability",5
"a","liar",26
"a","liberal",11
"a","librarian",22
"a","library",38
"a","license",38
"a","licensed",18
"a","lie",48
"a","life",205
"a","lifeline",8
"a","lifelong",25
"a","lifesaver",5
"a","lifestyle",19
"a","lifetime",102
"a","lift",22
"a","light",136
"a","lighter",19
"a","lightly",11
"a","like",20
"a","limb",8
"a","limit",16
"a","limited",71
"a","line",95
"a","liner",6
"a","lineup",13
"a","link",141
"a","lion",28
"a","lip",4
"a","list",190
"a","listening",4
"a","listing",10
"a","lit",6
"a","literacy",3
"a","literary",8
"a","litter",4
"a","little",3159
"a","live",95
"a","lively",9
"a","living",97
"a","load",28
"a","loaded",10
"a","loaf",14
"a","loan",43
"a","lobster",6
"a","local",221
"a","location",24
"a","lock",16
"a","lockdown",4
"a","log",7
"a","logical",6
"a","lollipop",4
"a","london",8
"a","lone",17
"a","lonely",16
"a","long",1133
"a","longer",32
"a","longterm",42
"a","longtime",59
"a","look",232
"a","loop",17
"a","loose",18
"a","loser",29
"a","losing",12
"a","loss",111
"a","lost",26
"a","lot",3632
"a","lottery",9
"a","loud",26
"a","lousy",9
"a","love",95
"a","loved",14
"a","loveless",3
"a","lovely",211
"a","lover",21
"a","loving",30
"a","low",93
"a","lower",48
"a","lowkey",5
"a","loyal",16
"a","lucky",27
"a","lucrative",8
"a","lump",15
"a","lunatic",8
"a","lunch",34
"a","lung",5
"a","luscious",3
"a","lush",6
"a","luxurious",4
"a","luxury",28
