"w1","w2","prediction","rank"
"a","choice","and",5
"a","choice","between",6
"a","choice","it",3
"a","choice","of",18
"a","choice","to",11
"a","christmas","story",7
"a","christmas","tree",15
"a","church","or",3
"a","circle","of",6
"a","citizen","of",5
"a","city","of",13
"a","city","where",4
"a","city","with",6
"a","civil","war",12
"a","clash","of",6
"a","class","at",6
"a","class","in",4
"a","class","of",8
"a","class","on",4
"a","class","that",5
"a","class","with",4
"a","classic","look",3
"a","clause","in",5
"a","clear","and",5
"a","clip","of",8
"a","close","eye",6
"a","close","friend",12
"a","close","match",3
"a","close","one",5
"a","close","second",5
"a","closer","look",29
"a","clue","what",4
"a","cluster","of",10
"a","cocktail","party",4
"a","coffee","shop",19
"a","coincidence","but",3
"a","coincidence","that",5
"a","collection","of",58
"a","college","degree",7
"a","college","football",6
"a","college","student",12
"a","combination","of",83
"a","comic","book",14
"a","command","of",3
"a","comment","below",17
"a","comment","that",4
"a","commercial","for",13
"a","commitment","to",14
"a","committee","of",11
"a","common","problem",4
"a","community","of",12
"a","community","service",4
"a","company","in",4
"a","company","is",4
"a","company","that",28
"a","compilation","of",4
"a","complaint","with",4
"a","complete","and",5
"a","completely","different",18
"a","completely","new",4
"a","computer","and",6
"a","computer","screen",4
"a","concept","that",5
"a","concert","at",5
"a","concert","in",8
"a","concert","that",5
"a","concert","with",3
"a","conference","call",31
"a","connection","to",5
"a","conscious","choice",3
"a","constant","state",4
"a","contest","and",4
"a","continuation","of",3
"a","contract","extension",10
"a","contract","with",10
"a","control","freak",7
"a","conversation","about",10
"a","conversation","in",4
"a","conversation","with",23
"a","cookie","cutter",3
"a","cookie","sheet",9
"a","cool","thing",3
"a","copy","of",111
"a","corner","and",7
"a","corner","of",9
"a","country","like",3
"a","country","with",4
"a","couple","and",5
"a","couple","days",44
"a","couple","hours",28
"a","couple","in",6
"a","couple","months",13
"a","couple","more",26
"a","couple","of",728
"a","couple","thousand",5
"a","couple","times",16
"a","couple","weeks",38
"a","couple","years",22
"a","course","on",6
"a","cover","of",6
"a","crazy","time",4
"a","credit","card",26
"a","crime","to",5
"a","cross","between",13
"a","crowd","and",3
"a","crowd","of",14
"a","crucial","part",4
"a","cultural","phenomenon",5
"a","culture","of",17
"a","cup","of",66
"a","customer","service",7
"a","cut","in",6
"a","cut","to",4
"a","cycle","of",6
"a","dab","of",3
"a","daily","basis",39
"a","dance","and",5
"a","danger","to",9
"a","dark","and",7
"a","dash","of",20
"a","date","for",8
"a","date","that",4
"a","date","with",19
"a","day","a",8
"a","day","ahead",5
"a","day","and",26
"a","day","as",5
"a","day","at",14
"a","day","but",10
"a","day","by",5
"a","day","early",6
"a","day","for",23
"a","day","from",10
"a","day","he",5
"a","day","i",20
"a","day","in",29
"a","day","is",7
"a","day","it",8
"a","day","later",7
"a","day","like",8
"a","day","of",50
"a","day","off",40
"a","day","or",43
"a","day","that",18
"a","day","the",10
"a","day","to",44
"a","day","trip",7
"a","day","when",22
"a","day","with",12
"a","day","you",7
"a","dead","body",6
"a","deal","for",11
"a","deal","to",11
"a","deal","with",32
"a","dear","friend",14
"a","death","in",8
"a","debate","between",4
"a","decade","and",6
"a","decade","before",5
"a","decade","i",3
"a","decade","later",6
"a","decade","to",6
"a","decent","job",4
"a","decent","living",3
"a","decision","about",4
"a","decision","and",6
"a","decision","it",3
"a","decision","on",15
"a","decision","to",12
"a","deep","breath",22
"a","defense","against",3
"a","degree","in",17
"a","degree","of",10
"a","delay","of",4
"a","department","store",3
"a","depth","of",9
"a","description","of",6
"a","desire","to",25
"a","difference","a",8
"a","difference","and",6
"a","difference","between",17
"a","difference","for",5
"a","difference","in",23
"a","different","color",4
"a","different","kind",20
"a","different","opinion",4
"a","different","part",4
"a","different","story",16
"a","different","time",3
"a","different","type",8
"a","different","way",16
"a","difficult","decision",5
"a","difficult","task",7
"a","difficult","time",15
"a","difficult","transition",3
"a","dinner","in",4
"a","dinner","party",4
"a","direct","impact",3
"a","direct","result",6
"a","discount","on",10
"a","discussion","about",12
"a","discussion","of",10
"a","discussion","on",4
"a","discussion","with",7
"a","disease","that",5
"a","disgrace","to",3
"a","disservice","to",8
"a","distance","it",4
"a","division","of",8
"a","divorce","is",3
"a","doctor","and",8
"a","doctor","to",5
"a","documentary","about",7
"a","dog","a",6
"a","dog","and",11
"a","dog","i",4
"a","dog","is",8
"a","dog","that",5
"a","dog","with",5
"a","dollar","and",3
"a","donation","to",15
"a","door","and",4
"a","dose","of",9
"a","double","mastectomy",5
"a","double","take",5
"a","doubleedged","sword",4
"a","doubt","the",8
"a","down","payment",7
"a","dozen","of",8
"a","dozen","or",11
"a","dozen","people",9
"a","dozen","times",11
"a","drama","queen",5
"a","dream","and",11
"a","dream","to",11
"a","dream","true",21
"a","drink","at",7
"a","drink","or",12
"a","drink","with",5
"a","drop","in",22
"a","drop","of",11
"a","drug","dealer",6
"a","drug","test",4
"a","drum","set",3
"a","dull","moment",8
"a","duty","to",12
"a","euphemism","for",5
"a","facebook","group",4
"a","facebook","page",16
"a","fact","that",16
"a","factor","in",14
"a","failure","of",8
"a","fair","amount",15
"a","fair","and",10
"a","fair","shake",7
"a","fair","share",5
"a","fair","trial",6
"a","fake","id",3
"a","false","sense",5
"a","false","start",4
"a","familiar","face",7
"a","family","member",22
"a","family","of",38
"a","family","trip",4
"a","family","who",3
"a","fan","and",10
"a","fan","of",152
"a","far","better",4
"a","farmers","market",7
"a","fashion","and",3
"a","fashion","show",7
"a","father","and",6
"a","favor","and",16
"a","favorite","of",7
"a","fear","of",13
"a","feature","film",10
"a","feel","for",16
"a","feeling","i",13
"a","feeling","it",10
"a","feeling","of",14
"a","feeling","that",11
"a","feeling","the",3
"a","feeling","we",5
"a","few","additional",3
"a","few","at",3
"a","few","beers",6
"a","few","blocks",26
"a","few","brief",4
"a","few","but",8
"a","few","changes",7
"a","few","days",246
"a","few","different",7
"a","few","dollars",7
"a","few","dozen",13
"a","few","extra",16
"a","few","facts",4
"a","few","friends",10
"a","few","good",8
"a","few","guys",4
"a","few","hours",136
"a","few","in",8
"a","few","key",5
"a","few","kinks",4
"a","few","lines",4
"a","few","men",6
"a","few","miles",19
"a","few","minutes",149
"a","few","moments",29
"a","few","months",130
"a","few","more",155
"a","few","new",23
"a","few","nights",6
"a","few","of",137
"a","few","other",34
"a","few","others",10
"a","few","people",31
"a","few","pieces",9
"a","few","places",10
"a","few","questions",9
"a","few","seconds",25
"a","few","short",21
"a","few","small",5
"a","few","songs",8
"a","few","spots",10
"a","few","steps",9
"a","few","stitches",3
"a","few","strange",4
"a","few","that",10
"a","few","things",74
"a","few","thoughts",6
"a","few","thousand",12
"a","few","times",94
"a","few","to",8
"a","few","too",4
"a","few","weeks",213
"a","few","wellchosen",3
"a","few","who",4
"a","few","will",4
"a","few","words",17
"a","few","years",221
"a","field","trip",7
"a","fight","against",3
"a","fight","and",6
"a","fight","between",4
"a","fight","broke",3
"a","fight","to",5
"a","fight","with",12
"a","figment","of",6
"a","figure","who",3
"a","film","about",9
"a","film","that",14
"a","final","decision",11
"a","finalist","for",11
"a","fine","line",15
"a","fine","young",4
"a","fire","alarm",5
"a","fire","and",7
"a","fire","extinguisher",10
"a","fire","in",12
"a","fire","under",3
"a","firm","believer",10
"a","first","for",10
"a","first","name",4
"a","fish","fry",5
"a","fixture","in",5
"a","flash","drive",4
"a","flat","tire",8
"a","flea","market",5
"a","fleet","of",8
"a","flight","of",5
"a","flood","of",12
"a","focus","on",6
"a","follow","up",8
"a","font","of",4
"a","food","cart",3
"a","foot","and",3
"a","fork","in",7
"a","form","of",40
"a","former","colleague",3
"a","former","employee",5
"a","former","student",9
"a","former","teacher",4
"a","formula","for",3
"a","fortune","on",5
"a","founding","member",6
"a","four","year",5
"a","fraction","of",26
"a","free","agent",32
"a","free","app",3
"a","free","lunch",5
"a","free","man",5
"a","free","ride",7
"a","fresh","look",4
"a","fresh","new",5
"a","fresh","start",13
"a","friday","afternoon",6
"a","friday","night",23
"a","friend","a",3
"a","friend","and",35
"a","friend","for",11
"a","friend","from",5
"a","friend","i",7
"a","friend","in",21
"a","friend","of",79
"a","friend","or",12
"a","friend","she",5
"a","friend","suggested",4
"a","friend","to",22
"a","friend","was",8
"a","friend","who",54
"a","friends","house",11
"a","front","row",4
"a","frying","pan",12
"a","full","day",22
"a","full","service",4
"a","full","time",15
"a","full","weekend",4
"a","fun","and",17
"a","fun","game",5
"a","fun","place",4
"a","fun","time",21
"a","fun","way",14
"a","function","of",9
"a","funeral","service",3
"a","future","in",7
"a","future","with",5
"a","gaggle","of",3
"a","gain","of",6
"a","gallon","of",10
"a","game","and",15
"a","game","can",3
"a","game","for",6
"a","game","i",6
"a","game","in",19
"a","game","of",31
"a","game","that",15
"a","game","they",9
"a","game","we",3
"a","game","you",6
"a","garage","sale",8
"a","garden","in",3
"a","gas","leak",3
"a","gathering","of",12
"a","general","rule",5
"a","generation","of",9
"a","gesture","of",5
"a","get","out",3
"a","gift","and",6
"a","gift","card",30
"a","gift","certificate",22
"a","gift","for",12
"a","gift","from",22
"a","gift","of",10
"a","gift","that",10
"a","gift","to",11
"a","gingerbread","man",3
"a","girl","and",18
"a","girl","because",3
"a","girl","he",4
"a","girl","is",11
"a","girl","to",12
"a","girl","who",37
"a","girl","with",9
"a","girls","night",6
"a","glance","at",5
"a","glass","of",70
"a","glass","to",7
"a","glass","with",4
"a","glimpse","of",45
"a","global","scale",5
"a","go","at",9
"a","goal","and",16
"a","goal","for",3
"a","goal","of",10
"a","goal","to",8
"a","gold","medal",5
"a","golf","course",9
"a","good","alternative",6
"a","good","amount",8
"a","good","and",10
"a","good","book",23
"a","good","boy",6
"a","good","cause",8
"a","good","chance",36
"a","good","choice",19
"a","good","chunk",10
"a","good","citizen",5
"a","good","day",219
"a","good","deal",25
"a","good","enough",8
"a","good","example",19
"a","good","father",4
"a","good","feeling",19
"a","good","first",6
"a","good","fit",18
"a","good","friend",47
"a","good","game",14
"a","good","girl",13
"a","good","group",5
"a","good","heart",3
"a","good","idea",123
"a","good","job",68
"a","good","kid",8
"a","good","laugh",21
"a","good","long",8
"a","good","look",19
"a","good","man",25
"a","good","minutes",4
"a","good","month",5
"a","good","move",4
"a","good","movie",17
"a","good","night",73
"a","good","nights",9
"a","good","note",7
"a","good","number",6
"a","good","old",6
"a","good","one",109
"a","good","opportunity",10
"a","good","or",10
"a","good","part",7
"a","good","person",7
"a","good","piece",3
"a","good","place",41
"a","good","point",11
"a","good","portion",5
"a","good","position",4
"a","good","price",5
"a","good","quality",3
"a","good","race",5
"a","good","relationship",12
"a","good","reminder",7
"a","good","run",9
"a","good","selection",5
"a","good","sense",8
"a","good","sign",27
"a","good","song",6
"a","good","spot",10
"a","good","start",40
"a","good","story",14
"a","good","strategy",5
"a","good","student",4
"a","good","summer",5
"a","good","team",18
"a","good","thing",176
"a","good","time",151
"a","good","use",5
"a","good","view",7
"a","good","way",69
"a","good","week",23
"a","good","weekend",40
"a","good","word",7
"a","good","workout",8
"a","google","search",6
"a","grade","of",3
"a","graduate","student",6
"a","grain","of",5
"a","grand","prize",5
"a","grand","scale",3
"a","grand","total",5
"a","grant","of",3
"a","graphic","designer",4
"a","great","american",4
"a","great","cause",15
"a","great","chance",11
"a","great","choice",8
"a","great","conversation",12
"a","great","day",352
"a","great","deal",100
"a","great","dinner",10
"a","great","example",9
"a","great","excuse",4
"a","great","feeling",8
"a","great","fit",16
"a","great","friend",18
"a","great","game",27
"a","great","group",11
"a","great","guy",15
"a","great","idea",46
"a","great","improvement",3
"a","great","job",100
"a","great","leader",8
"a","great","lineup",4
"a","great","little",7
"a","great","lunch",11
"a","great","many",13
"a","great","match",3
"a","great","meal",6
"a","great","moment",4
"a","great","new",10
"a","great","night",70
"a","great","one",30
"a","great","opportunity",17
"a","great","pick",3
"a","great","picture",5
"a","great","place",54
"a","great","race",7
"a","great","response",4
"a","great","role",4
"a","great","school",5
"a","great","sense",12
"a","great","service",7
"a","great","shot",11
"a","great","site",4
"a","great","song",14
"a","great","start",26
"a","great","starting",4
"a","great","step",4
"a","great","story",14
"a","great","strategy",3
"a","great","success",9
"a","great","team",20
"a","great","thing",19
"a","great","time",236
"a","great","tool",8
"a","great","trip",19
"a","great","venue",6
"a","great","visit",7
"a","great","way",101
"a","great","weekend",212
"a","great","year",24
"a","green","and",3
"a","grocery","store",15
"a","group","for",3
"a","group","from",4
"a","group","of",199
"a","growing","number",17
"a","growing","population",3
"a","grown","man",16
"a","guess","that",6
"a","guest","on",8
"a","guinea","pig",7
"a","gun","and",14
"a","gun","in",6
"a","gun","that",3
"a","gunshot","wound",10
"a","guy","from",5
"a","guy","in",17
"a","guy","like",11
"a","guy","that",29
"a","guy","to",5
"a","guy","who",61
"a","guy","with",14
"a","guy","working",3
"a","habit","of",14
"a","habit","to",3
"a","half","ago",12
"a","half","an",4
"a","half","and",6
"a","half","hour",33
"a","half","hours",10
"a","half","left",4
"a","half","of",11
"a","half","to",9
"a","half","weeks",7
"a","hall","of",9
"a","hand","in",13
"a","handful","of",132
"a","handle","on",4
"a","happy","and",18
"a","happy","camper",8
"a","happy","ending",9
"a","happy","hour",6
"a","happy","life",7
"a","happy","occasion",3
"a","hard","days",3
"a","hard","fought",5
"a","hard","job",4
"a","hard","look",6
"a","hard","one",9
"a","hard","thing",5
"a","hard","time",110
"a","hard","worker",7
"a","hate","crime",13
"a","he","is",3
"a","head","of",6
"a","head","start",6
"a","headache","for",3
"a","heads","up",18
"a","health","care",10
"a","healthy","body",3
"a","healthy","dose",4
"a","healthy","lifestyle",7
"a","heart","attack",71
"a","heart","to",4
"a","heck","of",16
"a","hell","of",27
"a","helping","hand",5
"a","hero","and",5
"a","hero","to",5
"a","high","degree",4
"a","high","level",18
"a","high","note",8
"a","high","price",4
"a","high","quality",4
"a","high","school",61
"a","high","standard",5
"a","higher","level",12
"a","higher","risk",5
"a","highlight","of",7
"a","highly","effective",4
"a","hint","of",52
"a","history","of",38
"a","hit","in",10
"a","hit","of",6
"a","hit","with",7
"a","hockey","game",10
"a","hold","of",20
"a","holding","pattern",5
"a","hole","in",35
"a","home","and",12
"a","home","but",3
"a","home","for",13
"a","home","in",28
"a","home","is",3
"a","home","that",6
"a","homeless","person",7
"a","horrible","thing",3
"a","host","of",33
"a","hot","dog",12
"a","hot","seller",3
"a","hot","shower",6
"a","hot","topic",8
"a","hotel","in",8
"a","hotel","room",18
"a","hour","drive",9
"a","house","and",8
"a","house","at",4
"a","house","full",7
"a","house","in",22
"a","house","is",8
"a","house","on",6
"a","house","party",5
"a","house","that",6
"a","house","with",9
"a","huge","and",3
"a","huge","chunk",6
"a","huge","deal",6
"a","huge","difference",12
"a","huge","fan",53
"a","huge","hit",5
"a","huge","hole",3
"a","huge","honor",3
"a","huge","impact",8
"a","huge","new",3
"a","huge","number",4
"a","huge","part",11
"a","huge","relief",4
"a","huge","thing",6
"a","huge","time",3
"a","human","being",16
"a","hundred","years",6
"a","hurry","to",6
"a","i","love",8
"a","i","was",4
"a","i","will",3
"a","i","would",5
"a","if","you",9
"a","in","the",11
"a","it","is",25
"a","jacket","and",3
"a","james","beard",3
"a","jar","of",15
"a","job","and",22
"a","job","as",22
"a","job","at",25
"a","job","but",4
"a","job","for",11
"a","job","he",6
"a","job","i",13
"a","job","in",28
"a","job","on",3
"a","job","or",6
"a","job","that",16
"a","job","there",5
"a","job","to",9
"a","job","well",5
"a","job","working",4
"a","joy","to",18
"a","judge","for",5
"a","judgment","call",4
"a","junior","high",5
"a","junior","in",4
"a","key","role",13
"a","key","to",21
"a","kick","in",8
"a","kick","out",12
"a","kid","again",6
"a","kid","and",15
"a","kid","but",3
"a","kid","i",21
"a","kid","in",12
"a","kid","it",5
"a","kid","my",5
"a","kid","that",4
"a","kid","to",5
"a","kid","who",8
"a","kid","with",5
"a","kind","and",3
"a","kind","of",73
"a","kiss","on",4
"a","knack","for",13
"a","knife","and",10
"a","knife","to",6
"a","la","carte",18
"a","label","and",3
"a","lack","of",102
"a","lady","with",3
"a","language","and",3
"a","large","area",3
"a","large","glass",8
"a","large","group",14
"a","large","number",24
"a","large","part",15
"a","large","portion",14
"a","large","selection",5
"a","late","night",15
"a","late","start",6
"a","late","summer",4
"a","laundry","list",5
"a","law","enforcement",16
"a","law","firm",8
"a","layer","of",20
"a","lead","in",27
"a","leader","and",9
"a","leader","in",16
"a","leader","of",9
"a","leader","to",3
"a","league","of",8
"a","leap","of",6
"a","learning","experience",9
"a","leash","and",3
"a","leg","up",6
"a","legacy","of",4
"a","legacy","that",4
"a","lesson","for",7
"a","lesson","from",4
"a","lesson","in",11
"a","letter","from",20
"a","letter","of",20
"a","letter","to",60
"a","level","of",21
"a","level","that",6
"a","license","to",8
"a","life","by",5
"a","life","changing",5
"a","life","of",32
"a","life","that",6
"a","lifelong","learner",3
"a","lifetime","and",5
"a","lifetime","of",16
"a","light","bulb",5
"a","light","on",7
"a","light","rain",5
"a","light","to",5
"a","limited","amount",8
"a","limited","number",15
"a","limited","time",10
"a","line","of",29
"a","link","and",6
"a","link","between",8
"a","link","for",10
"a","link","to",58
"a","list","of",138
"a","listing","of",5
"a","little","about",20
"a","little","after",8
"a","little","and",16
"a","little","at",5
"a","little","awkward",6
"a","little","behind",6
"a","little","better",36
"a","little","bit",404
"a","little","box",4
"a","little","boy",24
"a","little","break",9
"a","little","brighter",3
"a","little","brother",3
"a","little","but",10
"a","little","closer",8
"a","little","crazy",8
"a","little","different",29
"a","little","early",16
"a","little","easier",11
"a","little","extra",12
"a","little","faster",7
"a","little","fun",8
"a","little","further",6
"a","little","gem",4
"a","little","girl",45
"a","little","harder",18
"a","little","help",13
"a","little","higher",4
"a","little","hope",3
"a","little","hurt",4
"a","little","in",11
"a","little","known",3
"a","little","late",29
"a","little","less",40
"a","little","lighter",5
"a","little","like",17
"a","little","long",4
"a","little","longer",19
"a","little","lost",7
"a","little","more",266
"a","little","nervous",10
"a","little","odd",4
"a","little","of",18
"a","little","off",10
"a","little","old",9
"a","little","out",13
"a","little","over",33
"a","little","pep",3
"a","little","research",8
"a","little","rough",6
"a","little","sad",10
"a","little","scared",3
"a","little","short",8
"a","little","slow",8
"a","little","something",37
"a","little","strange",5
"a","little","tighter",6
"a","little","time",27
"a","little","to",17
"a","little","too",66
"a","little","upset",4
"a","little","voice",4
"a","little","way",4
"a","little","weird",6
"a","little","while",52
"a","little","with",10
"a","little","worried",5
"a","live","person",3
"a","living","and",6
"a","living","breathing",3
"a","living","in",3
"a","load","of",21
"a","loaf","of",10
"a","loan","to",8
"a","local","hospital",9
"a","lonely","place",3
"a","long","and",28
"a","long","day",84
"a","long","drive",7
"a","long","hard",8
"a","long","history",14
"a","long","life",8
"a","long","line",8
"a","long","list",20
"a","long","long",14
"a","long","night",18
"a","long","one",8
"a","long","period",13
"a","long","process",4
"a","long","road",8
"a","long","run",9
"a","long","series",4
"a","long","shot",14
"a","long","story",10
"a","long","tail",4
"a","long","term",8
"a","long","time",355
"a","long","wait",6
"a","long","way",87
"a","long","week",18
"a","long","weekend",13
"a","long","with",3
"a","look","at",124
"a","look","out",4
"a","loose","cannon",4
"a","loss","for",8
"a","loss","to",30
"a","lot","a",5
"a","lot","about",69
"a","lot","and",38
"a","lot","as",5
"a","lot","better",45
"a","lot","but",36
"a","lot","can",4
"a","lot","different",7
"a","lot","easier",23
"a","lot","for",23
"a","lot","from",17
"a","lot","going",17
"a","lot","harder",6
"a","lot","has",10
"a","lot","he",9
"a","lot","here",4
"a","lot","i",34
"a","lot","in",31
"a","lot","it",5
"a","lot","less",27
"a","lot","like",49
"a","lot","longer",13
"a","lot","more",185
"a","lot","now",5
"a","lot","of",2251
"a","lot","on",26
"a","lot","or",3
"a","lot","out",5
"a","lot","so",11
"a","lot","that",8
"a","lot","this",7
"a","lot","to",154
"a","lot","we",11
"a","lot","when",11
"a","lot","with",5
"a","lottery","ticket",3
"a","love","and",4
"a","love","for",8
"a","love","letter",5
"a","love","story",4
"a","loved","one",12
"a","lovely","time",7
"a","loving","home",4
"a","low","heat",4
"a","lower","level",4
"a","lump","of",5
"a","lunch","break",4
"a","mad","dash",5
"a","magic","wand",5
"a","magical","place",4
"a","magnet","for",8
"a","major","and",3
"a","major","issue",5
"a","major","league",14
"a","major","part",7
"a","major","problem",5
"a","major","publisher",3
"a","major","role",6
"a","majority","of",44
"a","makeup","artist",7
"a","man","and",23
"a","man","he",10
"a","man","i",11
"a","man","in",29
"a","man","is",22
"a","man","named",10
"a","man","of",34
"a","man","on",12
"a","man","or",10
"a","man","should",8
"a","man","so",4
"a","man","to",16
"a","man","was",11
"a","man","who",118
"a","man","with",29
"a","map","of",10
"a","married","couple",9
"a","master","of",9
"a","masterpiece","of",3
"a","masters","degree",26
"a","masters","in",5
"a","matter","of",155
"a","meal","in",3
"a","means","of",6
"a","means","to",16
"a","measure","of",24
"a","medical","doctor",4
"a","meeting","and",5
"a","meeting","at",13
"a","meeting","of",12
"a","meeting","with",22
"a","member","of",200
"a","memorial","service",7
"a","merry","christmas",8
"a","mess","and",8
"a","mess","of",10
"a","message","and",10
"a","message","for",4
