"item","Frequency"
"a decade of",7
"a decent chance",3
"a decision to",9
"a deep breath",32
"a degree in",18
"a destination for",6
"a difference a",9
"a difference in",32
"a different era",3
"a different kind",10
"a different planet",3
"a different side",4
"a different story",10
"a different way",15
"a difficult and",5
"a difficult time",12
"a dinner party",10
"a discussion of",12
"a disservice to",5
"a doctor and",8
"a dog the",3
"a double play",6
"a downward spiral",4
"a dozen times",8
"a dream come",16
"a dream for",5
"a drink at",12
"a drink it",4
"a driver who",3
"a drop in",13
"a drug and",3
"a fact that",6
"a factor in",7
"a fair amount",13
"a fair price",4
"a fair question",3
"a family and",6
"a family game",3
"a family in",6
"a family member",17
"a fan of",193
"a fantastic job",12
"a far cry",9
"a father to",3
"a favor and",26
"a favorite of",11
"a federal law",3
"a feel for",11
"a few at",6
"a few beers",10
"a few blocks",18
"a few days",271
"a few doors",4
"a few dozen",10
"a few extra",17
"a few feet",15
"a few hours",166
"a few hundred",12
"a few minutes",167
"a few moments",23
"a few months",147
"a few more",169
"a few new",24
"a few of",177
"a few other",46
"a few people",47
"a few photos",14
"a few pieces",10
"a few seasons",3
"a few seconds",32
"a few short",14
"a few small",12
"a few steps",7
"a few things",100
"a few thousand",9
"a few times",112
"a few ways",5
"a few weeks",231
"a few years",175
"a field of",6
"a fight with",13
"a final time",3
"a finalist for",4
"a fine for",6
"a food processor",34
"a food truck",4
"a forest of",4
"a form of",41
"a fraction of",13
"a free agent",6
"a fresh perspective",6
"a fresh start",13
"a freshman in",4
"a friday afternoon",7
"a fried egg",5
"a friend and",20
"a friend but",9
"a friend is",11
"a friend of",87
"a friend or",12
"a friend was",5
"a friend who",36
"a full recovery",4
"a full size",6
"a fulltime job",5
"a fun day",36
"a fun new",3
"a fundraiser for",5
"a funny thing",9
"a future of",3
"a game and",12
"a game in",9
"a game like",3
"a game of",38
"a game that",11
"a gathering of",7
"a general rule",10
"a gift card",37
"a gift certificate",32
"a gift for",19
"a gift from",20
"a gift to",20
"a girl who",36
"a glance at",5
"a glass of",82
"a glimpse into",8
"a glimpse of",35
"a glut of",3
"a goal of",8
"a goal to",6
"a golf course",6
"a good and",11
"a good balance",4
"a good cause",17
"a good chance",15
"a good day",286
"a good deal",35
"a good entry",3
"a good example",21
"a good experience",8
"a good father",4
"a good fight",11
"a good fit",19
"a good game",32
"a good idea",166
"a good job",61
"a good look",20
"a good message",3
"a good night",99
"a good person",17
"a good place",31
"a good race",3
"a good reason",21
"a good reminder",7
"a good shot",8
"a good sign",29
"a good source",7
"a good story",19
"a good summer",9
"a good team",14
"a good thing",197
"a good time",217
"a good way",72
"a graduate of",7
"a great addition",10
"a great base",6
"a great choice",13
"a great deal",102
"a great experience",21
"a great film",13
"a great job",105
"a great life",6
"a great little",10
"a great opportunity",19
"a great party",10
"a great place",52
"a great season",22
"a great thing",18
"a grocery store",11
"a group called",5
"a group of",152
"a group that",8
"a guide to",9
"a gun and",4
"a guy that",18
"a guy who",53
"a guy with",21
"a habit of",17
"a half ago",7
"a half and",12
"a half hours",12
"a half to",6
"a hall of",5
"a hand in",8
"a handful of",64
"a happy person",4
"a hard time",126
"a he was",5
"a hearing on",4
"a heart attack",50
"a heart of",6
"a heart that",8
"a hell of",41
"a helping hand",8
"a hero and",5
"a high school",28
"a higher level",8
"a history of",25
"a hole in",54
"a holiday season",3
"a home and",10
"a home in",9
"a home she",3
"a horror movie",10
"a horse and",7
"a host of",24
"a hot dog",20
"a hot topic",6
"a hotel and",4
"a hotel room",14
"a house and",7
"a house in",11
"a house of",8
"a household name",7
"a hug and",10
"a huge hit",10
"a huge influence",4
"a huge part",5
"a huge success",26
"a huge thing",3
"a human being",32
"a i love",4
"a in the",9
"a its a",3
"a job as",13
"a job at",11
"a job for",9
"a job he",3
"a job is",6
"a job with",9
"a joint venture",5
"a joke we",3
"a journalist who",5
"a judge to",3
"a junior and",3
"a key component",3
"a key part",4
"a kind and",3
"a kind of",59
"a kitchen knife",4
"a knee injury",6
"a knock on",5
"a lack of",56
"a large amount",9
"a large number",14
"a large portion",12
"a large selection",5
"a late lunch",4
"a late night",22
"a later time",8
"a law that",8
"a lawyer and",5
"a layer of",31
"a lead in",8
"a lead on",6
"a leader in",7
"a leap of",6
"a learning experience",4
"a lecture on",5
"a legend in",7
"a less than",8
"a letter from",17
"a letter of",12
"a letter to",20
"a level of",15
"a library and",5
"a light on",7
"a lighter note",6
"a line from",4
"a line in",5
"a line of",19
"a link to",81
"a list of",137
"a list that",5
"a little and",35
"a little behind",5
"a little better",55
"a little bit",409
"a little different",34
"a little differently",5
"a little easier",17
"a little extra",22
"a little girl",60
"a little he",4
"a little in",11
"a little less",40
"a little like",21
"a little lost",7
"a little more",216
"a little nervous",30
"a little of",28
"a little over",40
"a little sad",20
"a little something",36
"a little surprised",11
"a little thing",10
"a little too",79
"a living room",6
"a local guy",4
"a local hospital",5
"a long and",22
"a long history",7
"a long island",3
"a long line",12
"a long period",9
"a long road",8
"a long shot",11
"a long time",377
"a long way",87
"a longer period",4
"a longtime friend",5
"a look at",145
"a los angeles",6
"a lot about",75
"a lot and",56
"a lot as",3
"a lot at",10
"a lot better",51
"a lot but",41
"a lot for",31
"a lot going",17
"a lot he",4
"a lot in",36
"a lot it",9
"a lot less",26
"a lot more",182
"a lot of",2075
"a lot on",23
"a lot since",8
"a lot this",13
"a lot to",146
"a lot we",9
"a lot worse",6
"a love for",6
"a lover of",9
"a lower price",3
"a macbook pro",8
"a machine that",4
"a magnifying glass",5
"a major factor",4
"a major league",7
"a major role",7
"a majority of",21
"a man and",32
"a man at",4
"a man in",24
"a man of",35
"a man that",12
"a man who",78
"a master class",3
"a master of",10
"a masterpiece of",3
"a masters degree",10
"a matter of",122
"a maximum of",9
"a measure of",7
"a meeting at",8
"a meeting of",7
"a member of",124
"a message about",5
"a message from",20
"a message that",6
"a middle eastern",3
"a mind of",10
"a minimum of",20
"a minute drive",5
"a minute later",8
"a minute to",22
"a minute walk",6
"a mission to",15
"a mistake and",6
"a mistake at",4
"a mix of",38
"a mixture of",30
"a model of",6
"a model that",3
"a moment of",31
"a month and",29
"a month before",5
"a month later",12
"a month or",28
"a month to",19
"a monument to",3
"a moratorium on",5
"a more detailed",7
"a more positive",9
"a more powerful",3
"a more recent",4
"a mother of",8
"a motivational speaker",3
"a mountain of",7
"a move on",6
"a movie about",14
"a movie in",8
"a movie like",5
"a movie thats",4
"a movie then",4
"a much better",35
"a much larger",7
"a much smaller",6
"a multitude of",12
"a must for",11
"a myriad of",10
"a name for",17
"a near perfect",3
"a need for",15
"a network of",10
"a new beginning",12
"a new building",5
"a new challenge",16
"a new chapter",10
"a new direction",6
"a new generation",8
"a new group",9
"a new home",19
"a new level",12
"a new library",4
"a new life",15
"a new little",5
"a new musical",3
"a new owner",4
"a new position",3
"a new president",4
"a new report",8
"a new restaurant",8
"a new school",6
"a new set",15
"a new state",6
"a new study",11
"a new team",6
"a new way",17
"a new word",12
"a new year",27
"a new years",14
"a new york",20
"a news conference",9
"a nice addition",3
"a nice young",3
"a night and",5
"a night of",32
"a night on",5
"a nonprofit organization",7
"a note in",4
"a note of",12
"a number of",198
"a on the",10
"a pace of",14
"a package of",25
"a pain in",22
"a painless way",3
"a pair of",186
"a panel of",11
"a panic attack",7
"a paper in",4
"a park and",4
"a parking lot",15
"a parking spot",8
"a part in",16
"a part of",306
"a partner in",4
"a partnership with",7
"a party in",11
"a party to",5
"a passion and",4
"a penny in",3
"a perfect fit",10
"a period of",31
"a person and",10
"a person who",45
"a person with",12
"a personal level",6
"a personal trainer",6
"a phone call",36
"a phone interview",11
"a photo of",69
"a picture i",8
"a picture of",209
"a pie crust",3
"a piece i",7
"a piece of",202
"a piece with",3
"a pile of",45
"a pillow and",5
"a pilot project",3
"a pit bull",6
"a place of",30
"a place that",21
"a place to",82
"a place we",4
"a place where",54
"a plan for",23
"a plan that",9
"a plan to",39
"a plane and",5
"a plane crash",4
"a plane to",13
"a platform for",3
"a player is",3
"a player the",3
"a player who",4
"a pleasure to",33
"a point guard",6
"a point of",16
"a point where",17
"a police officer",17
"a police report",5
"a pool of",10
"a portion of",27
"a position at",7
"a position that",3
"a positive impact",10
"a positive way",9
"a press conference",12
"a press release",12
"a pretty big",12
"a pretty good",58
"a prime example",5
"a priority for",4
"a problem for",13
"a process of",11
"a process that",7
"a product called",6
"a product of",21
"a professor of",6
"a program that",8
"a program to",3
"a project manager",3
"a promise to",8
"a proposal for",7
"a proposal to",5
"a quarter of",23
"a question about",19
"a question i",8
"a question in",5
"a question of",13
"a quick and",16
"a quick lunch",7
"a quiet time",3
"a radio show",7
"a rainbow of",5
"a rainy day",17
"a range of",37
"a rate of",7
"a real and",3
"a real estate",7
"a real hard",3
"a reality show",12
"a really big",14
"a really fun",19
"a really good",86
"a really great",35
"a really lovely",5
"a really neat",6
"a reason and",11
"a reason for",16
"a reason to",59
"a recent study",6
"a recipe for",23
"a record to",4
"a recording of",7
"a red carpet",4
"a red flag",4
"a reduction in",7
"a reflection of",12
"a regular basis",30
"a relative who",4
"a reminder that",21
"a report from",4
"a report of",6
"a report on",13
"a report that",4
"a reputation for",4
"a request for",10
"a request to",5
"a resident of",4
"a restaurant and",4
"a restraining order",11
"a result of",96
"a result you",5
"a return to",7
"a review of",23
"a reward for",7
"a rich and",11
"a right to",24
"a risk to",4
"a road map",5
"a rock star",16
"a role model",16
"a room at",5
"a round of",13
"a row and",10
"a row in",5
"a run and",7
"a run for",17
"a run of",5
"a run on",6
"a run to",7
"a run with",5
"a running back",5
"a safe bet",6
"a safe place",14
"a sample from",3
"a sampling of",7
"a san francisco",5
"a saturday night",12
"a scene from",6
"a scene where",4
"a school of",4
"a school that",4
"a scientist and",5
"a scoop of",8
"a score of",9
"a sea of",10
"a season of",10
"a seat at",9
"a seat on",7
"a second job",9
"a second time",20
"a secret that",5
"a section of",7
"a sense of",119
"a series of",159
"a set of",70
"a sex offender",4
"a shame that",12
"a shame the",3
"a share of",9
"a shift in",4
"a shock for",3
"a shooting range",5
"a short period",6
"a short story",22
"a short time",22
"a shot at",24
"a shot from",4
"a shot of",36
"a shovel and",4
"a show in",20
"a show of",9
"a side of",26
"a sign of",35
"a sign that",29
"a significant impact",5
"a silent auction",4
"a simple rule",4
"a simple thank",3
"a single day",9
"a situation in",3
"a slew of",15
"a slice of",35
"a slight increase",3
"a slow start",3
"a small amount",23
"a small bit",4
"a small business",13
"a small community",3
"a small group",14
"a small handful",5
"a small number",5
"a small thing",3
"a small town",21
"a smattering of",5
"a snow day",11
"a society that",13
"a soldier in",3
"a song that",17
"a sort of",56
"a source of",21
"a special occasion",6
"a special place",20
"a special presentation",3
"a splash of",15
"a spot in",11
"a spot on",7
"a spot where",5
"a spring in",4
"a square foot",4
"a standing ovation",7
"a state of",37
"a state that",4
"a statement in",3
"a statement that",7
"a steal and",3
"a stop at",11
"a stop in",7
"a storm in",5
"a story about",30
"a story in",6
"a story like",3
"a story on",14
"a story that",12
"a straight face",14
"a strange thing",6
"a stream of",11
"a string of",16
"a stroke of",3
"a strong correlation",3
"a strong start",3
"a student a",4
"a student at",8
"a student of",8
"a study of",14
"a study that",6
"a super bowl",14
"a surge in",3
"a surge of",7
"a surgical procedure",3
"a surprise to",7
"a surprise visit",4
"a sweet potato",7
"a sweet spot",4
"a swimming pool",3
"a symbol of",14
"a system of",12
"a talk about",3
"a task force",5
"a tax increase",5
"a tea party",4
"a teacher at",6
"a teacher you",4
"a team from",5
"a team that",14
"a tear for",3
"a teen and",5
"a teenage girl",5
"a temple of",3
"a tenth of",3
"a test of",8
"a test on",3
"a testament to",9
"a text message",17
"a thin line",4
"a thing or",17
"a thing that",7
"a third of",20
"a thousand words",13
"a threat to",10
"a tight schedule",4
"a time a",7
"a time capsule",3
"a time for",13
"a time machine",19
"a time of",58
"a time on",3
"a time then",5
"a time they",4
"a time to",44
"a time when",63
"a toddler i",4
"a ton of",158
"a tornado warning",3
"a total of",53
"a totally different",9
"a touch of",42
"a tough decision",8
"a town with",4
"a trade with",3
"a tradition of",5
"a trail of",5
"a transcript of",3
"a treat for",7
"a treatment for",3
"a trend in",3
"a tribute to",29
"a trio of",10
"a trip to",103
"a truck driver",3
"a tshirt with",4
"a type of",21
"a variety of",139
"a version of",16
"a very big",18
"a very difficult",13
"a very fine",6
"a very good",99
"a very happy",63
"a very high",9
"a very important",29
"a very interesting",30
"a very large",19
"a very lucky",8
"a very nice",51
"a very slow",6
"a very small",25
"a very smart",4
"a very tough",5
"a very useful",7
"a very very",17
"a victim of",12
"a victory for",3
"a victory over",4
"a video about",5
"a video game",10
"a video that",8
"a view of",10
"a violation of",5
"a visit to",44
"a walk along",5
"a walk and",10
"a wall of",5
"a war on",8
"a waste of",76
"a way for",20
"a way of",72
"a way she",3
"a way that",49
"a way to",285
"a wedding and",5
"a wedge of",5
"a week after",8
"a week ago",42
"a week at",7
"a week for",15
"a week from",15
"a week if",5
"a week in",27
"a week is",8
"a week later",13
"a week of",39
"a week that",4
"a week to",21
"a while for",20
"a whole lot",82
"a whole new",66
"a wider range",3
"a wife and",7
"a win against",3
"a win in",9
"a winner for",6
"a woman and",8
"a woman he",4
"a woman named",5
"a woman who",48
"a word to",15
"a work in",25
"a world of",36
"a world series",8
"a year after",10
"a year ago",93
"a year and",40
"a year for",12
"a year if",3
"a year in",23
"a year of",25
"a year old",120
"a year on",5
"a year or",34
"a year that",6
"a year the",3
"a year they",5
"a year this",7
"a year to",18
"a year when",6
"a yearold boy",10
"a yearold girl",8
"a young boy",10
"a young guy",6
"a young man",28
"a young woman",21
"ability to do",10
"ability to run",5
"ability to work",5
"able to add",5
"able to answer",7
"able to be",37
"able to distinguish",4
"able to do",89
"able to find",51
"able to follow",5
"able to get",143
"able to give",17
"able to go",29
"able to have",21
"able to hold",11
"able to keep",25
"able to let",5
"able to live",11
"able to maintain",6
"able to make",69
"able to perform",6
"able to pull",7
"able to push",4
"able to reach",7
"able to relate",4
"able to run",12
"able to save",6
"able to shop",3
"able to stand",7
"able to sustain",3
"able to take",24
"able to understand",10
"able to visit",5
"able to win",3
"about a dozen",7
"about a lot",12
"about a man",8
"about a third",4
"about a week",36
"about a year",31
"about after the",3
"about all that",9
"about all the",54
"about an hour",73
"about and then",3
"about everything that",6
"about five hours",5
"about five minutes",13
"about for the",7
"about getting one",3
"about going on",3
"about going to",20
"about half an",9
"about half of",11
"about having a",17
"about having fun",4
"about his past",5
"about how a",7
"about how he",12
"about how much",39
"about how the",25
"about how to",51
"about is that",5
"about it after",4
"about it all",16
"about it and",64
"about it at",8
"about it by",4
"about it he",5
"about it i",50
"about it it",18
"about it its",12
"about it on",22
"about it than",5
"about it then",6
"about it they",5
"about it when",10
"about living in",6
"about love and",4
"about making a",11
"about minutes before",8
"about minutes for",4
"about more than",7
"about my kids",9
"about of the",20
"about of them",5
"about on the",3
"about one of",16
"about other peoples",3
"about our future",3
"about percent of",20
"about pounds of",4
"about some of",18
"about that and",12
"about that but",18
"about that i",16
"about that in",9
"about that song",3
"about the best",11
"about the city",7
"about the company",6
"about the death",5
"about the event",9
"about the fact",25
"about the festival",4
"about the future",34
"about the heat",9
"about the human",4
"about the idea",6
"about the importance",9
"about the issue",9
"about the kind",7
"about the most",8
"about the movie",7
"about the new",42
"about the only",10
"about the positive",3
"about the possibilities",3
"about the potential",8
"about the project",9
"about the same",32
"about the school",4
"about the show",16
"about the size",15
"about the state",9
"about the states",4
"about the town",3
"about the world",14
"about this place",5
"about time to",11
"about to be",75
"about to begin",21
"about to get",100
"about to make",25
"about to undergo",3
"about two hours",11
"about two years",9
"about us and",7
"about what constitutes",3
"about what the",12
"about what they",27
"about what to",22
"about what we",12
"about what you",55
"about when we",5
"about whether i",4
"above and below",3
"absence of a",11
"absence of an",5
"absent from the",4
"abuse and neglect",8
"access to all",9
"access to clean",4
"access to the",41
"accompanied by a",17
"according to a",64
"according to an",5
"according to people",3
"according to police",8
"according to some",7
"according to the",203
"account for its",3
"account for the",6
"account of the",10
"accounts for the",6
"across from the",13
"across the board",10
"across the city",5
"across the company",3
"across the country",46
"across the nation",12
"across the ocean",3
"across the river",8
"across the room",19
"across the sky",7
"across the state",10
"across the street",69
"across the us",10
"across the way",5
"act as the",3
"act in the",12
"acting as if",4
"acting like a",19
"action against the",8
"action on the",7
"actor in a",4
"actors in the",3
"actress in a",4
"actually a lot",4
"actually happening in",3
"actually i think",15
"actually live in",6
"ad for a",7
"adapt to the",5
"add in the",24
"add to the",65
"add to your",18
"add your own",4
"added up to",4
"adding a few",6
"adding to the",15
"addition to the",57
"address and the",4
"address on the",5
"address the problem",7
"adds to the",12
"admiration for the",3
"admission is free",5
"admission to the",5
"admitted that he",5
"ads in the",5
"advance of the",6
"advanced to the",5
"advantage of it",8
"advantage of the",49
"adventures in the",4
"advice from the",4
"affected by the",22
"affordable care act",8
"afraid it will",3
"afraid to be",9
"afraid to take",12
"afraid to try",8
"after a big",6
"after a couple",25
"after a few",59
"after a lengthy",7
"after a long",60
"after a month",14
"after a night",11
"after a period",8
"after a very",12
"after a week",19
"after a year",16
"after all he",7
"after all its",12
"after all of",14
"after all that",22
"after days of",10
"after he gets",6
"after he left",7
"after he was",18
"after high school",7
"after his wife",5
"after it was",16
"after just a",5
"after months of",19
"after reading a",6
"after school and",3
"after seeing the",16
"after several years",3
"after that he",6
"after that i",26
"after the death",8
"after the election",4
"after the fact",8
"after the first",45
"after the game",32
"after the kids",9
"after the morning",4
"after the new",7
"after the next",6
"after the race",7
"after the season",4
"after the wedding",7
"after they were",9
"after this weekend",5
"after three days",4
"after three years",4
"after two years",7
"after weeks of",3
"after years he",4
"after years of",45
"afternoon in the",5
"again and again",53
"again and the",10
"again i was",15
"again in a",13
"again in the",26
"again it was",14
"again its a",5
"again this time",16
"against each other",15
"against him but",3
"against one another",4
"against the government",6
"against the law",8
"against the wall",24
"against the yankees",3
"age of the",19
"age of this",3
"ages of and",5
"ago and she",4
"ago and this",5
"ago i had",16
"ago i would",4
"ago today i",12
"ago we were",8
"agree or disagree",4
"agree with the",15
"agreed on the",3
"agreed to a",7
"agreed to the",3
"agreed with the",4
"agreement with the",10
"ahead of a",3
"ahead of his",4
"ahead of its",4
"ahead of the",36
"ahead of them",8
"ahead of time",30
"ahead to the",6
"ahead with the",6
"aid of the",3
"aint going to",4
"air force base",4
"air force in",4
"alarm went off",9
"alberto del rio",3
"alice in chains",8
"all a part",6
"all about the",92
"all ages and",4
"all be so",5
"all been waiting",4
"all but a",7
"all but it",8
"all but one",10
"all children are",3
"all day but",14
"all day if",9
"all day long",70
"all day on",9
"all day to",13
"all dolled up",3
"all five of",3
"all for the",48
"all four of",10
"all from the",11
"all going to",27
"all have a",86
"all have been",9
"all he could",6
"all he wants",10
"all hell breaks",3
"all i can",143
"all i could",44
"all i want",100
"all i was",14
"all in the",43
"all in this",8
"all into the",4
"all is a",6
"all it takes",21
"all its a",10
"all its just",5
"all kinds of",111
"all know and",10
"all know that",23
"all know the",13
"all lined up",3
"all members of",10
"all my kids",6
"all my years",6
"all next week",10
"all of her",34
"all of it",50
"all of last",6
"all of my",220
"all of our",174
"all of that",71
"all of the",635
"all of their",34
"all of them",166
"all of this",111
"all of those",56
"all of us",182
"all of whom",10
"all of you",259
"all of your",142
"all on the",24
"all out and",6
"all over again",71
"all over it",23
"all over the",256
"all part of",22
"all sorts of",96
"all summer long",6
"all that and",18
"all that i",46
"all that stuff",8
"all that you",34
"all the better",9
"all the details",32
"all the different",12
"all the excitement",5
"all the good",45
"all the hard",20
"all the high",5
"all the information",17
"all the ingredients",21
"all the kids",23
"all the love",23
"all the men",8
"all the more",32
"all the other",82
"all the papers",7
"all the people",77
"all the places",5
"all the players",9
"all the questions",9
"all the right",20
"all the students",13
"all the time",501
"all the way",322
"all the while",30
"all the wonderful",27
"all the world",21
"all the worlds",7
"all these people",16
"all these years",31
"all this is",28
"all this time",25
"all this year",6
"all those people",8
"all those who",40
"all three in",3
"all three of",27
"all to the",11
"all together in",3
"all too often",12
"all too well",5
"all under the",4
"all wanted to",7
"all we can",13
"all weekend long",8
"all will be",16
"all work together",3
"all year and",8
"all year long",15
"all you can",43
"allow him to",6
"allow it to",16
"allow them to",23
"allow you to",31
"allowed to be",11
"allowed to go",7
"allowed to say",5
"allowed to stand",4
"allows people to",8
"allows you to",30
"almost as long",3
"almost as much",14
"almost impossible to",17
"almost like a",15
"almost like he",3
"almost smell the",4
"alone in the",15
"alone its a",3
"along for the",15
"along the line",9
"along the road",8
"along the way",112
"along with a",44
"along with an",9
"along with her",12
"along with the",108
"already had a",16
"already has a",12
"already have been",5
"already in the",12
"already know and",3
"already started a",4
"also a bit",8
"also a great",10
"also be a",14
"also discovered that",5
"also get to",4
"also had a",23
"also had some",7
"also has a",27
"also has the",8
"also have been",9
"also have some",7
"also have the",11
"also have to",27
"also home to",3
"also i have",13
"also in the",20
"also is a",4
"also it was",5
"also it will",3
"also known as",28
"also like to",27
"also make it",7
"also need to",18
"also needs to",4
"also on the",18
"also on this",4
"also part of",5
"also plan to",7
"also relies on",3
"also said he",8
"also said the",4
"also seems to",4
"also talked about",4
"also the first",7
"also to the",6
"also try to",7
"also trying to",7
"also turns out",3
"also want to",24
"also wanted to",19
"also will be",8
"alternative to the",7
"alternatives to the",3
"although he was",6
"although it has",8
"although it is",14
"although there are",9
"although we do",4
"always been a",41
"always been an",7
"always been at",4
"always been one",6
"always count on",13
"always easy to",7
"always go to",7
"always going to",17
"always have a",37
"always looking for",36
"always love him",3
"always nice to",22
"always on the",27
"always the one",7
"always trying to",17
"always want to",13
"always wanted to",67
"always will be",26
"am a big",14
"am a good",4
"am an atheist",3
"am and a",4
"am and am",5
"am and pm",11
"am and what",4
"am at peace",4
"am committed to",4
"am going to",353
"am happy with",8
"am i a",21
"am i dont",4
"am i going",31
"am more concerned",3
"am not a",80
"am not happy",5
"am or am",3
"am sorry to",6
"am sure this",3
"am to pm",60
"am very pleased",7
"am very proud",8
"amazed at the",11
"amendment to the",7
"america as a",5
"american association of",6
"american cancer society",11
"american international auto",3
"americans who are",4
"americans will be",3
"amid all the",4
"amid allegations of",3
"among other things",32
"among the best",9
"among the first",9
"among the most",11
"among the top",9
"amount of damage",4
"amount of money",24
"amount of time",50
"amounts of time",5
"an abundance of",15
"an accident and",7
"an acquaintance of",4
"an act of",27
"an ad for",22
"an added bonus",12
"an adult who",5
"an advocate for",7
"an agreement between",3
"an agreement with",6
"an album of",6
"an alltime high",3
"an alternative to",14
"an apartment in",6
"an army of",9
"an article about",14
"an article for",7
"an artist and",8
"an attempt to",53
"an attorney for",5
"an audience member",4
"an average of",43
"an awesome job",13
"an early lead",3
"an easy read",3
"an easy way",15
"an effort to",54
"an elected official",5
"an election year",3
"an email from",44
"an email response",4
"an email to",44
"an end to",39
"an entirely different",12
"an entirely new",11
"an estimated million",4
"an evening with",6
"an event in",10
"an example of",53
"an excuse for",11
"an excuse to",44
"an executive order",3
"an experience that",3
"an expression of",11
"an extra a",4
"an eye on",36
"an eye opener",3
"an homage to",4
"an honor and",7
"an honor to",22
"an hour after",4
"an hour and",61
"an hour before",10
"an hour later",22
"an hour of",30
"an hour or",31
"an hour the",9
"an ice cream",17
"an idea i",5
"an idea that",12
"an illegal immigrant",3
"an impact on",16
"an important role",9
"an incentive to",4
"an increase in",14
"an increase of",4
"an individual or",5
"an industry that",3
"an inspiration to",22
"an integral part",13
"an interest in",22
"an interesting challenge",3
"an interview about",4
"an interview on",7
"an interview the",3
"an interview with",46
"an investment in",6
"an issue for",10
"an issue in",6
"an issue of",12
"an issue that",9
"an ocean of",4
"an off day",6
"an office in",3
"an officer and",4
"an officer in",3
"an official announcement",4
"an old man",23
"an olive oil",4
"an online community",7
"an only child",9
"an open house",5
"an open mind",13
"an opportunity for",26
"an opportunity to",45
"an option for",6
"an ounce of",9
"an outpouring of",3
"an undisclosed location",4
"an update on",10
"an uphill battle",7
"analysis of the",19
"and a better",9
"and a black",8
"and a bonus",4
"and a bowl",4
"and a box",7
"and a burger",4
"and a chance",12
"and a curse",5
"and a day",17
"and a double",8
"and a family",7
"and a few",102
"and a final",4
"and a fine",7
"and a firm",4
"and a friend",16
"and a full",5
"and a great",57
"and a half",222
"and a high",5
"and a lack",6
"and a large",13
"and a lawyer",5
"and a letter",4
"and a little",104
"and a lot",71
"and a man",8
"and a new",37
"and a nice",28
"and a pair",10
"and a picture",5
"and a place",11
"and a point",4
"and a real",7
"and a really",8
"and a short",6
"and a side",3
"and a single",4
"and a slew",3
"and a smile",8
"and a story",6
"and a strong",6
"and a time",19
"and a total",4
"and a touchdown",3
"and a trip",5
"and a truck",3
"and a very",31
"and a woman",19
"and about the",6
"and above all",7
"and access to",9
"and according to",8
"and across the",9
"and act accordingly",4
"and add the",36
"and add your",6
"and after a",21
"and after the",31
"and again and",16
"and again as",6
"and again but",3
"and again in",6
"and agreed to",5
"and ahead of",3
