"item","Frequency"
"a compelling",7
"a competition",25
"a competitive",14
"a complaint",18
"a complete",125
"a completely",43
"a complex",25
"a complimentary",15
"a comprehensive",16
"a compromise",11
"a computer",102
"a concept",24
"a concern",16
"a conclusion",10
"a concussion",13
"a condition",16
"a condo",8
"a conference",52
"a conflict",22
"a congress",6
"a congressman",4
"a consensus",6
"a conservative",31
"a considerable",9
"a consistent",9
"a constant",50
"a constitutional",10
"a construct",3
"a consultant",6
"a consultation",5
"a consumer",14
"a container",13
"a contemporary",9
"a contest",38
"a continuous",11
"a contract",41
"a contributing",5
"a control",9
"a controversial",11
"a convenience",4
"a convenient",13
"a convention",12
"a conventional",9
"a conversation",93
"a conversion",4
"a conviction",8
"a convincing",6
"a cooking",14
"a cool",179
"a cooperative",4
"a cop",27
"a copy",188
"a core",7
"a corner",42
"a corporate",19
"a costume",11
"a couch",18
"a council",4
"a counselor",8
"a country",75
"a county",7
"a coup",8
"a couple",1342
"a course",22
"a court",27
"a courtesy",5
"a cousin",13
"a cover",52
"a coworker",22
"a cozy",15
"a cpa",3
"a craft",20
"a crash",13
"a crazy",137
"a creamy",13
"a creative",58
"a credit",41
"a creepy",12
"a crew",21
"a crime",50
"a criminal",33
"a crisis",15
"a crisp",13
"a critical",22
"a crock",7
"a cross",28
"a crosscountry",3
"a crossroads",7
"a crowd",33
"a crowded",14
"a crown",11
"a crucial",13
"a cruise",23
"a crust",3
"a culinary",7
"a cult",13
"a cultural",13
"a culture",36
"a cup",159
"a cure",37
"a currency",3
"a current",14
"a curriculum",3
"a curse",17
"a customer",50
"a cut",28
"a cutting",10
"a d",40
"a daily",79
"a damn",122
"a danger",9
"a dangerous",39
"a dark",96
"a dash",15
"a date",140
"a dating",7
"a daughter",33
"a day",971
"a dead",57
"a deadline",15
"a deadly",14
"a deal",92
"a dear",24
"a death",23
"a debate",22
"a debt",8
"a decade",66
"a decadent",5
"a decent",112
"a decision",67
"a deck",5
"a dedicated",19
"a deduction",3
"a deep",137
"a deer",12
"a defensive",8
"a deficit",12
"a definition",6
"a degree",65
"a delayed",8
"a delicate",10
"a delicious",81
"a delight",20
"a delivery",11
"a demanding",3
"a democrat",23
"a dense",3
"a department",8
"a deposit",7
"a deputy",6
"a design",33
"a designated",8
"a desire",24
"a desired",7
"a desk",22
"a desperate",19
"a destination",21
"a detailed",17
"a devastating",9
"a developer",11
"a developers",4
"a devoted",6
"a diamond",16
"a difference",214
"a different",409
"a difficult",61
"a digital",47
"a dinner",32
"a dip",10
"a direct",73
"a direction",6
"a director",15
"a directory",4
"a dirty",58
"a disadvantage",5
"a disappointing",7
"a disappointment",13
"a disaster",31
"a disconnect",4
"a discount",46
"a discussion",41
"a dish",30
"a disney",20
"a disneyland",3
"a disposable",4
"a dispute",9
"a disservice",9
"a distance",27
"a distant",28
"a distinct",18
"a district",15
"a diverse",12
"a diving",3
"a division",8
"a divorce",20
"a dna",3
"a doctor",72
"a document",15
"a documentary",25
"a dog",199
"a dollar",81
"a domestic",9
"a dominant",7
"a donation",42
"a doozy",10
"a double",138
"a doughnut",8
"a down",33
"a downward",5
"a dozen",98
"a draft",20
"a drama",10
"a dramatic",27
"a draw",15
"a dream",239
"a dress",63
"a drink",190
"a drinking",13
"a drive",37
"a driver",15
"a driveway",5
"a driving",11
"a drop",39
"a drug",43
"a drum",14
"a drunk",28
"a drunken",11
"a ducks",4
"a dump",13
"a dvd",22
"a dynamic",7
"a era",16
"a european",12
"a fabulous",135
"a facebook",65
"a facility",7
"a fact",56
"a factor",26
"a factory",14
"a failing",5
"a faint",10
"a fair",84
"a fairly",48
"a fake",41
"a fall",20
"a false",29
"a familiar",12
"a family",228
"a familyfriendly",4
"a fan",382
"a fancy",34
"a fantastic",210
"a fantasy",29
"a far",39
"a farm",33
"a fascinating",31
"a fashion",32
"a fastball",5
"a faster",11
"a fatal",7
"a father",30
"a fault",11
"a faux",7
"a favor",60
"a favorite",114
"a feature",44
"a featured",9
"a federal",29
"a fee",19
"a feel",19
"a fellow",61
"a felony",6
"a female",97
"a feminist",11
"a fence",10
"a festive",12
"a few",3756
"a fictional",4
"a field",63
"a fifth",15
"a fight",83
"a fighter",8
"a fighting",6
"a film",89
"a final",70
"a finalist",9
"a financial",22
"a fine",135
"a fire",84
"a firm",62
"a first",117
"a firsttime",5
"a fishing",4
"a fiveyear",9
"a fix",11
"a fixture",8
"a flash",32
"a flat",48
"a flawed",7
"a flight",51
"a floating",5
"a flock",5
"a florida",9
"a fly",24
"a flying",18
"a foam",10
"a focus",21
"a followup",10
"a food",88
"a foot",50
"a football",43
"a for",44
"a force",22
"a ford",11
"a foreign",48
"a forest",18
"a forever",6
"a forgotten",3
"a form",58
"a formal",24
"a former",110
"a formidable",10
"a fort",5
"a foul",27
"a foundation",18
"a fountain",7
"a fourth",17
"a fox",13
"a fraction",18
"a franchise",7
"a fraud",19
"a free",473
"a freelance",14
"a freelancer",4
"a freeze",4
"a french",42
"a frequent",8
"a fresh",108
"a freshman",23
"a friday",84
"a fried",9
"a friend",574
"a from",9
"a front",10
"a fruity",4
"a frustrated",3
"a frustrating",9
"a full",351
"a fulltime",25
"a fully",20
"a fun",400
"a functional",8
"a fund",7
"a fundraiser",18
"a fundraising",6
"a funeral",22
"a funfilled",3
"a funny",85
"a future",69
"a gallon",31
"a game",365
"a gang",14
"a garage",25
"a garbage",12
"a gas",33
"a gate",7
"a gathering",12
"a gem",23
"a general",53
"a generation",23
"a generous",31
"a gentle",28
"a gettogether",3
"a giant",122
"a gift",253
"a gifted",6
"a gig",38
"a girl",452
"a girls",42
"a given",48
"a glance",13
"a glass",134
"a glimpse",54
"a global",35
"a glut",4
"a gm",6
"a goal",83
"a gold",27
"a golf",19
"a good",3770
"a goofy",7
"a gospel",6
"a gourmet",6
"a government",30
"a gracious",6
"a grad",11
"a graduate",20
"a grammy",8
"a grand",50
"a grapevine",3
"a graphic",21
"a grave",4
"a great",4552
"a greater",46
"a greek",13
"a green",67
"a greeting",9
"a grilled",15
"a grocery",16
"a ground",6
"a group",261
"a growing",37
"a growth",9
"a grudge",11
"a guard",18
"a guest",99
"a guide",25
"a guitar",35
"a gun",67
"a guy",386
"a gym",24
"a habit",47
"a half",345
"a halfway",4
"a hall",9
"a hallway",8
"a halt",16
"a hand",78
"a handful",75
"a hands",4
"a hangover",18
"a happier",9
"a happy",392
"a hard",237
"a harder",11
"a hat",45
"a hazard",5
"a he",20
"a headache",58
"a health",26
"a healthier",19
"a healthy",109
"a hearing",24
"a heart",128
"a hearty",15
"a heavily",6
"a heavy",55
"a hectic",10
"a helicopter",12
"a hell",51
"a helmet",17
"a helpful",6
"a helping",8
"a herd",3
"a hero",37
"a hidden",22
"a high",186
"a higher",65
"a highly",35
"a highway",7
"a hike",22
"a hill",19
"a hip",18
"a hippie",5
"a historian",4
"a historic",10
"a historical",15
"a history",45
"a hit",99
"a hoax",6
"a holding",3
"a hole",96
"a holiday",70
"a hollywood",11
"a home",179
"a homemade",15
"a homeowner",5
"a homicide",7
"a honda",9
"a horn",3
"a horrific",6
"a horror",18
"a horse",63
"a hospital",49
"a host",31
"a hostage",4
"a hostile",4
"a hot",218
"a hotel",58
"a hour",88
"a house",179
"a household",16
"a housing",4
"a hug",84
"a huge",747
"a human",95
"a hundred",68
"a hunger",11
"a hunting",6
"a husband",29
"a hybrid",8
"a i",53
"a if",11
"a im",8
"a in",50
"a inch",38
"a it",16
"a its",8
"a jack",7
"a jam",15
"a january",6
"a jawdropping",4
"a jazz",12
"a jersey",12
"a jet",20
"a jewish",14
"a job",407
"a joint",31
"a joke",201
"a jolly",6
"a journal",23
"a journalist",23
"a journey",45
"a joy",50
"a joyful",16
"a jpeg",3
"a judge",39
"a junior",21
"a jury",19
"a keen",11
"a key",60
"a kick",35
"a kid",238
"a kidney",10
"a kids",24
"a kind",100
"a king",38
"a kings",3
"a kiss",59
"a kitchen",29
"a kite",12
"a knee",13
"a knife",49
"a knight",8
"a knock",8
"a l",9
"a la",49
"a lack",57
"a lake",10
"a language",15
"a laptop",24
"a large",469
"a larger",66
"a last",31
"a lasting",15
"a late",62
"a latenight",4
"a later",26
"a laugh",33
"a launch",6
"a law",46
"a lawsuit",15
"a lawyer",46
"a layer",40
"a lazy",34
"a lead",70
"a leader",69
"a leading",16
"a leaf",14
"a league",18
"a leak",7
"a leap",20
"a learning",13
"a lecture",27
"a lefty",10
"a leg",53
"a legal",34
"a legend",39
"a legendary",9
"a legitimate",24
"a lemon",26
"a lengthy",22
"a less",26
"a letter",99
"a level",34
"a liability",5
"a liar",33
"a liberal",15
"a library",58
"a license",21
"a licensed",7
"a lie",69
"a life",232
"a lifelong",21
"a lifetime",114
"a lift",19
"a light",130
"a lighter",15
"a limb",19
"a limit",16
"a limited",43
"a limiting",4
"a limp",6
"a line",109
"a link",188
"a liquid",8
"a list",193
"a listen",29
"a little",3679
"a live",95
"a living",104
"a load",40
"a loan",13
"a lobster",6
"a local",208
"a locally",4
"a lofty",4
"a logical",9
"a london",10
"a lone",17
"a lonely",16
"a long",1099
"a longer",41
"a longshot",6
"a longterm",16
"a longtime",19
"a look",297
"a lookout",4
"a loop",17
"a los",10
"a loser",52
"a loss",42
"a lost",30
"a lot",3613
"a loud",35
"a love",90
"a lovely",296
"a lover",20
"a low",96
"a lower",35
"a loyal",19
"a lunch",38
"a luxury",16
"a macbook",11
"a machine",31
"a magazine",35
"a magical",24
"a magnificent",15
"a magnifying",5
"a magnitude",5
"a main",29
"a maintenance",6
"a major",226
"a majority",35
"a makeup",12
"a male",36
"a man",688
"a management",11
"a manager",19
"a maniac",5
"a manicure",11
"a mans",55
"a marathon",36
"a march",10
"a marine",14
"a market",22
"a marketing",20
"a martin",5
"a mass",26
"a massage",47
"a massive",94
"a master",49
"a masterpiece",13
"a masters",22
"a match",29
"a matching",15
"a matchup",5
"a matter",126
"a mature",5
"a maximum",10
"a may",8
"a mayor",8
"a maze",6
"a mcdonalds",13
"a meal",42
"a means",28
"a measure",10
"a meat",9
"a media",27
"a medical",32
"a medieval",5
"a mediocre",7
"a medium",61
"a meet",17
"a meeting",115
"a member",150
"a memoir",8
"a memorable",15
"a memorial",12
"a mental",32
"a mentor",17
"a merchant",4
"a mere",43
"a merry",21
"a mess",111
"a message",155
"a metal",18
"a mexican",25
"a michigan",4
"a microphone",10
"a microscope",4
"a middle",28
"a mighty",7
"a mild",27
"a mile",113
"a million",249
"a millionaire",15
"a mind",38
"a minefield",3
"a miniature",10
"a minimal",7
"a minimum",51
"a minor",48
"a minute",320
"a miss",10
"a missing",10
"a mission",54
"a mistake",74
"a mistress",3
"a mix",55
"a mixed",18
"a mixture",33
"a mobile",47
"a model",60
"a modern",35
"a modest",16
"a moment",212
"a money",17
"a monster",58
"a month",460
"a monthly",27
"a monument",4
"a monumental",7
"a moral",11
"a moratorium",5
"a more",309
"a morning",46
"a most",29
"a mostly",5
"a mother",113
"a motivational",5
"a motivator",3
"a motive",3
"a motor",8
"a mountain",32
"a move",51
"a movement",26
"a movie",387
"a mph",8
"a much",182
"a muchneeded",7
"a multipurpose",3
"a multitude",12
"a murder",21
"a muscle",15
"a museum",35
"a music",80
"a musical",32
"a must",118
"a myriad",10
"a myth",17
"a nagging",5
"a name",83
"a narrow",12
"a nasty",31
"a national",96
"a nationally",6
"a nationwide",9
"a native",28
"a natural",76
"a naughty",4
"a nazi",8
"a near",9
"a nearby",34
"a nearly",9
"a necessary",22
"a necessity",20
"a neck",6
"a need",41
"a negative",42
"a neighbor",19
"a neighborhood",22
"a neighbors",7
"a nerf",4
"a nerve",7
"a nervous",14
"a net",13
"a network",23
"a neurological",4
"a neutral",5
"a new",2656
"a newly",14
"a newport",3
"a news",42
"a newspaper",29
"a nice",801
"a nicely",8
"a niche",8
"a nifty",8
"a night",178
"a nightclub",7
"a ninth",4
"a nissan",3
"a no",75
"a nod",13
"a nonprofit",30
"a normal",80
"a north",10
"a northern",10
"a notable",8
"a notch",21
"a note",85
"a novel",59
"a november",7
"a nuclear",20
"a nuisance",8
"a number",248
"a nurse",22
"a nutshell",18
"a off",16
"a oh",6
"a on",46
"a one",109
"a onetime",13
"a oneyear",6
"a ounce",8
"a pace",22
"a package",59
"a page",73
"a paid",14
"a pain",55
"a painful",12
"a painless",3
"a painting",24
"a pair",225
"a panel",34
"a panelist",6
"a panic",17
"a paper",105
"a parade",13
"a parent",73
"a park",30
"a parking",44
"a part",350
"a partial",16
"a particular",106
"a particularly",26
"a parting",4
"a partner",30
"a partnership",16
"a parttime",12
"a party",208
"a pass",34
"a passenger",11
"a passing",16
"a passion",50
"a passionate",9
"a passport",15
"a past",24
"a pastor",11
"a pastry",12
"a patch",13
"a path",27
"a patient",26
"a patron",10
"a pay",7
"a paycheck",10
"a payment",9
"a peace",13
"a peaceful",26
"a peak",10
"a pear",14
"a pecan",3
"a pedestrian",11
"a pediatric",4
"a pen",29
"a penalty",20
"a penny",22
"a people",25
"a pep",5
"a percent",41
"a percentage",16
"a perfect",279
"a performance",23
"a performer",5
"a period",53
"a permanent",28
"a person",326
"a personal",142
"a personality",15
"a persons",27
"a petition",11
"a phantom",6
"a phone",118
"a photo",177
"a photograph",24
"a photographer",27
"a physical",28
"a pianist",4
"a picnic",23
"a picture",411
"a pie",18
"a piece",277
"a pile",50
"a pillow",21
"a pilot",18
"a pinched",3
"a pink",41
"a pioneer",6
"a pirate",22
"a pit",18
"a pitch",21
"a pitcher",13
"a pivotal",5
"a place",376
"a plain",22
"a plan",196
"a plane",87
"a plant",19
"a platform",22
"a play",73
"a player",53
"a playing",3
"a playoff",33
"a plea",17
"a pleasure",93
"a plugin",5
"a plus",37
"a poet",24
"a point",152
"a police",61
"a policy",12
"a polished",5
"a political",60
"a poll",18
"a pony",8
"a pool",45
"a poor",40
"a poorly",7
"a pop",32
"a popular",59
"a population",17
"a portable",5
"a portion",29
"a portland",7
"a position",60
"a positive",137
"a possible",38
"a post",146
"a potato",13
"a potential",37
"a powder",7
"a power",55
"a powerful",76
"a powerhouse",5
"a practical",19
"a practice",22
"a prayer",41
"a precedent",4
"a preferred",5
"a pregnant",17
"a premium",16
"a prescription",8
"a preseason",3
"a presentation",40
"a president",18
"a press",38
"a pretty",358
"a previous",37
"a price",36
"a pricey",3
"a primary",26
"a prime",16
"a primitive",3
"a priority",32
"a prison",20
"a prisoner",12
"a private",97
"a pro",38
"a problem",268
"a process",42
"a producer",16
"a product",82
"a production",20
"a productive",52
"a professional",96
"a professor",19
"a profit",24
"a program",47
"a progressive",8
"a project",144
"a prolonged",3
"a prom",9
"a prominent",12
"a promise",30
"a promising",6
"a proper",56
"a property",17
"a proposal",27
"a proposed",9
"a prostitute",12
"a protein",11
"a protest",13
"a proud",26
"a proven",9
"a provider",4
"a psychologist",6
"a public",118
"a pulitzer",13
"a punch",15
"a punk",19
"a puppy",32
"a purchase",15
"a purple",18
"a purpose",23
"a purse",16
"a quad",4
"a quality",27
"a quart",15
"a quarter",64
"a quarterback",9
"a queen",27
"a question",176
"a queue",5
"a quick",313
"a quiet",67
"a quote",61
"a race",57
"a racial",9
"a radio",36
"a raft",6
"a raid",3
"a rain",17
"a rainbow",20
"a rainy",29
"a raisin",3
"a rally",10
"a random",82
"a range",46
"a ranger",4
"a rare",60
"a rate",14
"a rather",82
"a raw",14
"a read",19
"a real",522
"a realistic",12
"a reality",60
"a reallife",7
"a really",433
"a realworld",3
"a reason",229
"a reasonable",28
"a rebel",19
"a rebellious",4
"a recap",5
"a receiver",3
"a recent",109
"a recipe",78
"a recommendation",14
"a record",94
"a recording",23
"a recovery",8
"a recurring",8
"a red",114
"a reduced",6
"a reduction",8
"a referendum",15
"a reflection",15
"a reformed",3
"a regional",11
"a regular",139
"a related",8
"a relationship",138
"a relative",15
"a relatively",39
"a relevant",8
"a relief",27
"a religion",7
"a religious",19
"a remarkable",23
"a reminder",73
"a remote",34
"a rental",10
"a rep",9
"a repeat",23
"a replacement",21
"a report",58
"a reporter",22
"a representative",12
"a republic",5
"a republican",34
"a reputation",12
"a request",26
"a requirement",22
"a research",29
"a resemblance",4
"a resident",16
"a resolution",13
"a respected",6
"a response",36
"a responsible",10
"a restaurant",73
"a restraining",12
"a result",205
"a resurgent",3
"a retired",21
"a retirement",5
"a return",19
"a revelation",6
"a review",76
"a reward",21
"a rice",7
"a rich",66
"a ride",98
"a ridiculous",22
"a right",67
"a risk",29
"a risky",7
"a road",62
"a robbery",7
"a robot",26
"a rock",92
"a rocket",20
"a rocky",7
"a role",59
"a roll",39
"a rolling",17
"a roof",13
"a rooftop",7
"a rookie",20
"a room",122
"a rope",10
"a rough",82
"a round",46
"a routine",30
"a row",197
"a royal",12
"a run",151
"a runner",19
"a running",28
"a rush",34
"a sacrifice",14
"a sad",86
"a safe",138
"a safer",5
"a safety",16
"a salad",44
"a salary",7
"a sale",25
"a sales",27
"a salmon",4
"a same",8
"a sample",48
"a sampling",7
"a san",14
"a sandwich",52
"a santa",6
"a satellite",6
"a satisfying",13
"a saturday",70
"a sauce",9
"a saudi",4
"a saving",3
"a savings",4
"a savory",5
"a scale",29
"a scene",59
"a scholarship",16
"a school",86
"a science",19
"a scientist",18
"a scoop",12
"a score",20
"a scrap",13
"a scratch",10
"a script",20
"a sea",17
"a search",32
"a season",44
"a seasoned",8
"a seat",64
"a seating",3
"a second",371
"a secondary",12
"a secret",119
"a section",17
"a selection",18
"a senior",66
"a sensation",5
"a sense",139
"a sentence",36
"a separate",65
"a sequel",25
"a serial",21
"a series",211
"a serious",116
"a serving",11
"a session",36
"a set",115
"a setback",5
"a severe",16
"a sex",25
"a sexual",13
"a sexy",44
"a shady",7
"a shaky",3
"a shame",92
"a share",20
"a sharp",30
"a shave",6
"a sheet",26
"a shell",12
"a shelter",12
"a shift",10
"a shock",29
"a shoe",21
"a shoestring",6
"a shooting",21
"a shootout",6
"a shop",27
"a shopping",20
"a short",272
"a shortage",7
"a shortened",4
"a shorter",9
"a shot",176
"a shotgun",11
"a shoulder",8
"a shovel",6
"a show",273
"a showcase",4
"a shower",85
"a side",92
"a sign",144
"a significant",60
"a silent",24
"a silly",24
"a silver",37
"a similar",117
"a simple",204
"a singer",35
"a singing",9
"a single",355
"a singular",9
"a site",41
"a sitting",3
"a situation",43
"a six",29
"a size",35
"a skilled",6
"a slap",6
"a slate",3
"a sleepy",6
"a slew",15
"a slice",44
"a slide",11
"a slight",89
"a slightly",61
"a sling",7
"a slow",62
"a slowdown",5
"a slower",4
"a slump",7
"a slut",32
"a small",728
"a smaller",45
"a smashing",8
"a smattering",6
"a smile",157
"a smoother",4
"a snapshot",9
"a snow",34
"a snowball",3
"a snowstorm",5
"a social",106
"a society",35
"a sociopath",5
"a soft",74
"a software",15
"a solar",14
"a soldier",10
"a solid",102
"a solo",34
"a solution",33
"a some",11
"a somewhat",24
"a son",33
"a song",263
"a sonic",7
"a sophomore",14
"a sore",25
"a sort",58
"a sound",39
"a soundtrack",6
"a source",40
"a south",15
"a southern",20
"a space",58
"a spare",16
"a spark",7
"a sparkling",5
"a speaker",13
"a special",395
"a specific",86
"a spectacular",28
"a speech",29
"a speedy",16
"a spicy",10
"a spike",5
"a spirit",14
"a spirited",5
"a spiritual",19
"a splash",18
"a split",19
"a spokesman",20
"a sponge",14
"a spoon",36
"a sport",31
"a spot",79
"a spotlight",4
"a spouse",8
"a sprained",3
"a spring",35
"a squad",4
"a square",34
"a squeeze",5
"a st",31
"a stable",9
"a stadium",10
"a staff",12
"a stage",26
"a stain",9
"a stand",48
"a standalone",9
"a standard",36
"a standing",20
"a standout",5
"a standstill",6
"a staple",19
"a star",91
"a start",51
"a starter",28
"a starting",20
"a state",107
"a statement",95
"a statewide",7
"a statistic",5
"a steady",29
"a steak",13
"a steakhouse",3
"a steal",16
"a stealth",4
"a steaming",4
"a steep",13
"a stellar",15
"a step",67
"a stick",36
"a stiff",8
"a stock",13
"a stolen",7
"a stone",19
"a stool",6
"a stop",48
"a storage",12
"a store",53
"a storm",60
"a story",235
"a straight",51
"a strange",75
"a stranger",62
"a strapless",6
"a stray",13
"a stream",16
"a street",25
"a strength",7
"a stretch",24
"a strict",13
"a strike",16
"a string",23
"a strip",30
"a stroke",23
"a stroll",10
"a strong",224
"a stronger",19
"a struggle",26
"a struggling",5
"a stubborn",6
"a student",102
"a study",55
"a stunning",21
"a stupid",58
"a style",12
"a sub",13
"a subject",22
"a submarine",4
"a subsidiary",5
"a substantial",20
"a substitute",7
"a suburban",4
"a success",86
"a successful",91
"a sugar",9
"a suicide",7
"a suit",24
"a summary",10
"a summer",69
"a super",142
"a superhero",12
"a supplier",3
"a support",12
"a supporter",8
"a supreme",5
"a sure",15
"a surge",11
"a surgeon",7
"a surgical",4
"a surprise",110
"a surprising",10
"a surprisingly",12
"a survey",24
"a survivor",10
"a suspended",5
"a suspicious",6
"a sustainable",15
"a sustained",6
"a swedish",4
"a sweet",180
"a sweeter",9
"a sweetheart",22
"a swimming",4
"a swirl",4
"a swiss",7
"a switch",9
"a symbol",28
"a symbolic",7
"a system",43
"a systematic",4
"a table",86
"a tabloid",3
"a tad",57
"a tag",16
"a talent",21
"a talented",27
"a talk",40
"a tall",32
"a tank",21
"a tape",12
"a taping",4
"a target",17
"a tart",9
"a task",17
"a tasting",15
"a tasty",27
"a tax",28
"a taxi",34
"a taxpayer",4
"a tea",21
"a teacher",95
"a team",164
"a teammate",5
"a tear",23
"a technical",23
"a technique",8
"a technology",13
"a teen",31
"a teenage",23
"a teenager",50
"a telephone",7
"a television",14
"a temple",13
"a temporary",26
"a tender",6
"a tennis",7
"a tense",3
"a tent",19
"a tentative",8
"a tenth",3
"a terrorist",19
"a test",97
"a testament",10
"a texas",9
"a text",89
"a th",59
"a that",12
"a the",37
"a theater",19
"a theme",35
"a there",3
"a thermometer",5
"a thermos",3
"a they",8
"a thick",33
"a thin",42
"a thing",233
"a third",103
"a thirdparty",5
"a thirst",4
"a thorough",8
"a thousand",105
"a thread",11
"a threat",27
"a threeyear",7
"a thrill",14
"a thriving",7
"a throw",6
"a thursday",22
"a tick",5
"a ticket",101
"a tie",30
"a tiger",17
"a tigers",4
"a tight",39
"a tighter",3
"a time",640
"a timeline",7
"a timely",15
"a times",11
"a tiny",131
"a title",40
"a to",75
"a toast",13
"a toddler",35
"a toll",14
"a ton",220
"a tonic",3
"a top",93
"a topic",34
"a torn",11
"a tornado",33
"a torrent",3
"a total",164
"a totally",39
"a touch",63
"a touchdown",15
"a tough",105
"a tour",77
"a tournament",11
"a towel",16
"a tower",7
"a town",42
"a townhouse",3
"a toyota",4
"a track",32
"a trade",41
"a tradition",25
"a traditional",45
"a traffic",16
"a tragedy",18
"a trail",17
"a trailer",14
"a train",65
"a training",16
"a transcript",4
"a transplant",3
"a trap",13
"a trash",9
"a traveling",7
"a treat",76
"a treatment",10
"a tree",108
"a tremendous",29
"a trend",37
"a trial",23
"a tribute",35
"a trim",3
"a trio",14
"a trip",201
"a triple",28
"a trophy",13
"a tropical",10
"a troubling",3
"a truck",35
"a true",202
"a truly",50
"a trusty",5
"a tshirt",35
"a tunnel",5
"a turkey",21
"a turning",5
"a turnover",3
"a tutorial",24
"a tv",84
"a tweet",163
"a twin",17
"a twitter",232
"a two",79
"a twobedroom",3
"a twohour",4
"a twoyear",6
"a type",31
"a typical",60
"a uk",22
"a un",4
"a uniform",11
"a union",8
"a unique",70
"a unit",14
"a united",5
"a university",32
"a us",44
"a utility",7
"a vacation",61
"a vacuum",15
"a valid",25
"a valley",3
"a valuable",22
"a van",16
"a variety",148
"a vast",29
"a vegan",23
"a vegetarian",21
"a vehicle",35
"a venture",5
"a verbal",10
"a verdict",5
