"item","Frequency"
"a variety of colors",4
"a very good chance",5
"a very important part",4
"a visit to the",16
"a walk along the",5
"a waste of time",32
"a way of life",18
"a way to do",10
"a way to get",23
"a way to keep",6
"a way to make",18
"a way to win",4
"a week ago and",7
"a whole lot more",10
"a whole new way",6
"a wider range of",3
"a woman who was",7
"a work in progress",20
"a year ago and",9
"a year ago i",7
"a year and a",20
"a year or two",15
"able to do a",7
"able to do that",9
"able to do the",9
"able to do this",8
"able to get married",3
"able to get the",10
"able to go to",7
"able to keep up",7
"able to make the",7
"able to relate to",3
"about a year ago",9
"about an hour and",11
"about half an hour",8
"about how to handle",4
"about it i was",4
"about it than i",3
"about that but i",5
"about that in the",5
"about the death of",5
"about the fact that",24
"about the idea of",5
"about the importance of",9
"about the kind of",6
"about the same as",3
"about the size of",13
"about the state of",8
"about what to do",9
"about what we can",3
"about what you need",4
"access to all of",3
"according to a new",5
"according to the national",4
"according to the us",9
"across the country and",4
"across the street from",28
"afraid it will be",3
"after a couple of",21
"after a period of",5
"after a week of",8
"after the death of",7
"after the first of",3
"after two years of",3
"again and again and",13
"ahead of its time",4
"ahead of the curve",8
"all a part of",6
"all but a few",3
"all i can do",24
"all it takes is",11
"all it takes to",4
"all kinds of different",3
"all know and love",7
"all my years of",4
"all of it with",3
"all of the new",11
"all of the sudden",13
"all of them are",15
"all of us to",9
"all of you that",5
"all over the country",15
"all over the place",70
"all over the world",58
"all part of the",14
"all that and a",3
"all that and more",3
"all the hard work",18
"all the high school",4
"all the more reason",7
"all the time but",23
"all the time i",21
"all the time we",3
"all the time with",3
"all the way around",6
"all the way down",22
"all the way from",27
"all the way in",13
"all the way through",25
"all the way to",56
"all the worlds a",4
"all three of those",3
"all you can do",11
"all you can eat",20
"almost as long as",3
"along for the ride",12
"along the way i",11
"along the way so",4
"also like to see",4
"always been a good",3
"always been one of",5
"always nice to see",4
"always wanted to do",9
"am going to do",16
"am i going to",27
"am to pm today",3
"american international auto show",3
"an ad for a",4
"an article about a",3
"an average of per",4
"an easy way to",13
"an effort to make",5
"an email from a",9
"an end to the",14
"an entirely different direction",3
"an example of what",5
"an excuse to go",5
"an eye on the",6
"an honor to be",8
"an hour and a",35
"an hour later the",3
"an important role in",4
"an integral part of",13
"an interview with a",5
"an interview with the",9
"and a box of",4
"and a chance to",8
"and a few other",16
"and a half ago",7
"and a half and",10
"and a half hours",12
"and a lack of",6
"and a lot of",54
"and a pair of",9
"and a picture of",4
"and a slew of",3
"and a total of",3
"and a trip to",5
"and again and again",9
"and all kinds of",8
"and all of the",30
"and all of those",6
"and all over the",9
"and allow them to",5
"and as a result",26
"and as far as",8
"and as long as",7
"and at the same",20
"and author of the",3
"and be sure to",14
"and being able to",10
"and by the time",21
"and cant wait to",15
"and ceo of the",6
"and come up with",6
"and did i mention",13
"and dont want to",10
"and every day i",5
"and for that i",10
"and for that matter",5
"and give them a",6
"and go from there",5
"and go on the",3
"and go on to",4
"and had to take",3
"and hanging out with",5
"and hasnt had a",3
"and have a good",13
"and have fun with",7
"and have time to",5
"and he is still",3
"and he knows it",11
"and he will be",6
"and headed to the",10
"and his new wife",3
"and hope for the",8
"and i can still",5
"and i can tell",9
"and i didnt know",10
"and i didnt want",14
"and i dont know",44
"and i dont think",21
"and i got some",5
"and i had the",17
"and i have a",70
"and i have my",5
"and i have to",69
"and i hope to",13
"and i knew it",7
"and i know i",10
"and i know this",3
"and i like the",10
"and i plan to",7
"and i refuse to",5
"and i think he",8
"and i think its",17
"and i think that",18
"and i think they",5
"and i think this",7
"and i thought i",19
"and i thought it",23
"and i took it",4
"and i tried to",10
"and i try to",6
"and i want to",65
"and i was very",7
"and i went to",23
"and i will always",12
"and i would be",10
"and if i have",9
"and if you dont",26
"and if you havent",12
"and if youre not",4
"and im going to",28
"and im looking forward",13
"and in the end",24
"and in the future",5
"and in the process",5
"and in the us",3
"and is trying to",3
"and it can be",9
"and it had to",3
"and it is a",18
"and it looks like",16
"and it shows in",4
"and it turns out",11
"and it was an",4
"and it was like",6
"and it was one",5
"and it will be",33
"and it would be",15
"and its going to",17
"and its hard to",8
"and its not just",7
"and its such a",3
"and learned how to",4
"and listening to the",12
"and look forward to",22
"and looking at the",6
"and looking forward to",24
"and make sure that",5
"and make your own",6
"and more like a",3
"and more of a",4
"and more people are",4
"and most of the",22
"and my son is",3
"and no i am",5
"and no one is",6
"and no one was",11
"and not worry about",9
"and now im going",3
"and now the world",3
"and now they are",7
"and now we have",8
"and on the road",3
"and one of the",46
"and open to the",6
"and other forms of",6
"and out of the",26
"and put it in",21
"and put it up",6
"and said he was",6
"and see if he",3
"and see what happens",15
"and send it to",11
"and so it was",8
"and spend time with",5
"and take care of",15
"and take it out",3
"and take it to",5
"and take part in",4
"and that he is",4
"and that is a",13
"and that is to",7
"and that is what",14
"and that is where",8
"and that was it",7
"and that was the",11
"and thats all i",5
"and thats going to",3
"and the ability to",13
"and the amount of",5
"and the fact that",39
"and the future of",4
"and the head of",4
"and the location of",3
"and the man who",4
"and the nature of",5
"and the number of",6
"and the only thing",9
"and the people who",10
"and the rest of",60
"and the same time",3
"and the things they",4
"and the united states",8
"and the use of",7
"and the winner is",7
"and then give it",3
"and then i have",8
"and then there are",9
"and then there was",12
"and then to the",6
"and then we can",5
"and there are a",11
"and there are some",10
"and there are two",4
"and there is a",32
"and there seems to",3
"and there was a",21
"and there was no",14
"and there were a",4
"and they are so",5
"and they had no",4
"and this is the",16
"and to be honest",8
"and to make sure",4
"and to some extent",5
"and to the point",4
"and told him he",5
"and try to get",8
"and try to make",5
"and wait for the",10
"and wait to see",5
"and waiting for the",6
"and wanted to get",5
"and we have to",11
"and we love to",6
"and we need to",14
"and we used to",3
"and we will be",16
"and we would get",3
"and went to the",19
"and what do you",17
"and when it is",5
"and when they were",5
"and when you get",5
"and will be the",4
"and will continue to",13
"and would like to",20
"and yes there is",3
"and you can see",14
"and you dont want",7
"and you get a",10
"and you have the",4
"and you know that",5
"and you need to",8
"and you wont be",5
"another example of how",3
"another part of the",9
"answer to that is",4
"anyone who wants to",13
"anything other than a",6
"apparently there is a",3
"appeared to be a",3
"applies not only to",3
"apply directly to the",3
"are a couple of",26
"are a few of",17
"are a lot of",66
"are a number of",21
"are a ton of",5
"are all a part",5
"are already in the",3
"are always looking for",8
"are big fans of",5
"are doing the same",4
"are getting ready to",4
"are going to be",115
"are going to get",28
"are going to go",11
"are going to have",40
"are going to help",4
"are going to work",5
"are headed to the",4
"are in charge of",3
"are in for a",8
"are in the business",3
"are in the process",12
"are just now starting",3
"are likely to be",8
"are looking forward to",37
"are members of the",5
"are more likely to",19
"are not allowed to",10
"are not going to",22
"are not in the",11
"are not supposed to",7
"are on the verge",4
"are open to the",4
"are out of work",3
"are running out of",5
"are so many people",10
"are some of the",42
"are starting to get",4
"are taken care of",4
"are the ones who",17
"are the people who",10
"are too afraid to",3
"are two of the",10
"are two types of",9
"are very proud of",3
"are we going to",30
"are you doing in",10
"are you doing this",14
"are you going to",217
"are you waiting for",19
"argument in favor of",3
"around in a wheelchair",3
"around the same time",8
"around the world are",4
"around the world to",9
"arrived in the mail",6
"as a general rule",8
"as a gift from",3
"as a matter of",17
"as a member of",15
"as a person and",5
"as a piece of",4
"as a reminder that",3
"as a result of",75
"as a way of",10
"as a way to",35
"as an example of",8
"as an opportunity to",6
"as being one of",3
"as far as i",42
"as far as the",27
"as far away as",8
"as good as it",9
"as good as the",28
"as hard as he",3
"as i was looking",4
"as i was reading",5
"as i was walking",5
"as if it had",4
"as it can be",3
"as it has been",3
"as it takes to",3
"as it turns out",22
"as it was to",4
"as long as it",22
"as long as the",31
"as long as you",70
"as much as a",8
"as much as he",4
"as much as in",3
"as much as my",7
"as much as possible",37
"as much as the",24
"as much as they",13
"as much as we",31
"as much as you",36
"as much of the",5
"as of right now",14
"as one of her",3
"as one of my",8
"as one of the",50
"as part of a",30
"as part of an",10
"as part of its",5
"as part of the",54
"as part of their",7
"as soon as he",13
"as soon as i",145
"as soon as possible",20
"as soon as the",23
"as soon as they",13
"as soon as this",4
"as soon as we",27
"as soon as you",24
"as they should be",8
"as well as a",80
"as well as all",5
"as well as by",3
"as well as his",10
"as well as on",9
"as well as our",7
"as well as the",110
"as well as to",9
"as well with a",3
"as you walk the",3
"asked me to do",8
"at a high school",4
"at a later time",7
"at a rate of",4
"at a time of",7
"at a time then",5
"at a time when",23
"at all but it",4
"at am and pm",4
"at an alltime high",3
"at any given time",9
"at any of the",3
"at his home in",7
"at in the afternoon",5
"at just the right",7
"at least a dozen",4
"at least a month",5
"at least a year",7
"at least days a",3
"at least in the",13
"at least of the",6
"at least part of",4
"at least some of",8
"at least three times",6
"at least years ago",3
"at one of the",20
"at peace with my",4
"at pm at the",13
"at pm on sunday",4
"at some of the",17
"at some point but",5
"at some point this",3
"at some point you",6
"at the age of",59
"at the back of",15
"at the beginning of",63
"at the bottom of",75
"at the center for",6
"at the center of",18
"at the conclusion of",6
"at the corner of",7
"at the counter and",4
"at the door and",11
"at the edge of",12
"at the end of",402
"at the expense of",23
"at the farmers market",6
"at the forefront of",7
"at the four seasons",6
"at the front desk",5
"at the grand opening",3
"at the head of",5
"at the hollywood bowl",3
"at the house and",6
"at the intersection of",7
"at the last minute",22
"at the last second",7
"at the line of",3
"at the number of",4
"at the perfect time",4
"at the request of",6
"at the right time",22
"at the same time",354
"at the school of",4
"at the senior center",3
"at the th annual",7
"at the thought of",16
"at the time and",15
"at the time i",29
"at the time of",25
"at the time was",10
"at the top and",9
"at the top of",99
"at the university of",43
"at the very least",31
"at the white house",16
"at the wrong time",8
"at this moment i",6
"at this point are",3
"at this point in",18
"at this point it",7
"at this time of",26
"at work in the",6
"away from the hustle",3
"back and forth in",4
"back in the day",64
"back in the s",20
"back in the saddle",8
"back in time to",11
"back of the room",3
"back out on the",5
"back some of the",4
"back to the days",6
"back to the future",16
"back to the same",5
"back to the way",5
"be a good fit",8
"be a good idea",27
"be a good time",27
"be a little more",15
"be a lot more",12
"be a lot of",26
"be a much better",6
"be a part of",113
"be a way of",3
"be able to answer",4
"be able to find",25
"be able to get",56
"be able to go",14
"be able to hold",6
"be able to keep",14
"be able to relate",4
"be afraid to be",4
"be afraid to try",6
"be all over the",8
"be among the first",5
"be as good as",9
"be back in the",24
"be back next year",6
"be careful not to",13
"be done by the",4
"be followed by the",4
"be grateful for what",3
"be having a blast",3
"be in charge of",6
"be in contact with",5
"be included in the",6
"be interesting to see",31
"be linked to the",5
"be more willing to",4
"be on the lookout",20
"be on to something",7
"be one of the",78
"be open all day",4
"be out of the",13
"be part of the",39
"be placed on the",5
"be reached for comment",7
"be remembered as the",3
"be thankful for the",6
"be the best in",6
"be the first to",31
"be the only one",26
"be there for the",4
"be there for your",4
"be there if i",5
"be time to give",3
"be willing to try",3
"be worth up to",3
"because he is a",5
"because he wants to",3
"because he was too",3
"because i dont have",14
"because i dont want",20
"because i had to",8
"because i wanted to",20
"because im scared of",3
"because it is so",17
"because it was a",13
"because it was so",13
"because of how the",4
"because of the time",6
"because that is the",5
"because there was a",6
"because they are so",6
"because they want to",6
"because we have to",3
"because you can doesnt",3
"because you have to",4
"become more of a",6
"become one of the",12
"become part of the",3
"been a fan of",14
"been a long and",5
"been a lot of",18
"been a part of",12
"been able to do",10
"been around for a",5
"been away from the",4
"been dealing with a",4
"been driven out of",3
"been going on for",6
"been more than a",3
"been nice to see",4
"been one of my",9
"been one of the",17
"been removed from the",7
"been there done that",15
"been through a lot",5
"been working on it",5
"before arriving at the",3
"before it gets to",5
"before its too late",9
"beginning of the year",13
"being able to do",8
"being one of the",13
"being used as a",7
"believe we have a",3
"believed to be the",8
"best interests of the",3
"best known for his",5
"best of the best",9
"best thing to do",18
"best time to get",3
"between a man and",6
"between pm and pm",3
"between th and th",6
"between that and the",3
"between the ages of",11
"between the two of",3
"big fan of the",16
"big fans of the",3
"big of a deal",5
"blessing and a curse",4
"born and raised in",10
"both of which are",6
"bottom line is that",9
"bottom of the hill",6
"bottom of the page",8
"bottom of the photo",3
"boy scouts of america",3
"bring them to the",4
"bureau of labor statistics",5
"but a lot of",12
"but at least the",6
"but at some point",4
"but at the end",11
"but at the same",36
"but at this point",5
"but didnt want to",8
"but have yet to",5
"but he did not",6
"but he is not",4
"but i am sure",12
"but i didnt know",9
"but i didnt think",5
"but i do think",12
"but i dont do",4
"but i dont like",14
"but i grew up",5
"but i have a",47
"but i kind of",9
"but i know im",7
"but i know that",17
"but i like to",16
"but i really dont",12
"but i still like",3
"but i think i",44
"but i think we",12
"but i thought it",7
"but i told her",4
"but i was going",3
"but i was the",3
"but if i dont",6
"but if you do",12
"but if you have",18
"but in the end",35
"but it cant be",3
"but it could be",5
"but it had a",4
"but it has been",8
"but it has to",6
"but it is a",38
"but it is the",14
"but it is what",6
"but it made me",10
"but it takes time",3
"but it turned out",9
"but it turns out",9
"but it was fun",8
"but it was his",4
"but it was the",13
"but it was too",9
"but it will be",16
"but it wont be",7
"but it would be",21
"but its just not",4
"but its not a",14
"but its not as",6
"but its not really",6
"but look at the",4
"but many of the",3
"but most of the",11
"but most of them",6
"but my guess is",3
"but no matter how",6
"but no one was",3
"but none of them",6
"but not enough to",12
"but not so much",8
"but on this day",3
"but one of them",4
"but only for the",3
"but ran out of",3
"but some of the",6
"but that doesnt mean",17
"but that is just",5
"but that was a",6
"but thats not the",10
"but the answer is",4
"but the fact that",9
"but the truth is",12
"but there are more",6
"but there is a",30
"but there was no",10
"but they can also",3
"but this is a",16
"but this is the",25
"but we also have",6
"but we are looking",5
"but we have to",10
"but we need to",8
"but when i got",6
"but when it comes",13
"but you and i",3
"but you can still",3
"but you can use",5
"but you need to",9
"by a couple of",5
"by a man in",4
"by the amount of",11
"by the end of",129
"by the fact that",22
"by the government to",4
"by the new york",4
"by the number of",14
"by the prospect of",3
"by the time they",13
"by the time you",13
"by the way and",6
"by the way the",9
"by this time next",3
"call of the wild",3
"call to check on",3
"came back to the",7
"came back with a",5
"came in the form",5
"came to a halt",3
"came to the us",3
"came up to me",9
"came up with a",18
"can always count on",13
"can and should be",3
"can be a good",4
"can be just as",4
"can be made to",6
"can be seen from",4
"can be the best",6
"can do a lot",3
"can do about it",9
"can do anything you",5
"can do it all",8
"can do the same",14
"can do to make",9
"can doesnt mean you",3
"can figure out how",3
"can get it done",3
"can go back to",9
"can honestly say that",8
"can make a difference",15
"can make or break",3
"can we go to",4
"can you imagine the",8
"cant even begin to",4
"cant tell you how",14
"cant think of a",17
"cant wait for the",135
"cant wait to get",133
"cant wait to see",493
"care what you do",3
"caught up in the",19
"center for the arts",7
"centers for disease control",11
"chance to go to",5
"check in at the",3
"child into the world",3
"chose to do it",3
"circuit court of appeals",5
"clash of the titans",5
"closed my eyes and",10
"closer and closer to",9
"coach of the year",13
"come as you are",4
"come back from a",4
"come back to the",16
"come out of the",24
"come out of this",6
"come out to play",4
"come too far to",4
"come up with a",51
"come up with the",13
"comes down to is",3
"comes up with a",3
"coming back to the",6
"coming home from work",5
"coming in the next",7
"coming out of the",15
"coming up on the",10
"continue to be a",6
"continue to do so",9
"continues to be a",6
"control of the board",3
"could be a lot",5
"could be due to",3
"could be on the",4
"could be used in",4
"could be worth up",3
"could go on for",4
"could have been a",15
"could have been much",3
"could have been prevented",3
"could it be the",5
"could not be reached",8
"couldnt bring myself to",5
"couldnt come up with",4
"couldnt get enough of",5
"count the number of",6
"couple of weeks to",3
"couple of years ago",21
"cut out for them",3
"dad i love you",3
"dancing with the stars",25
"day in the kitchen",4
"day of the season",5
"day of the week",46
"day of the year",31
"day one of my",4
"day to make you",3
"day trip to the",3
"decided to check out",3
"decided to do this",3
"decided to have a",9
"deciding whether or not",3
"definitely going to be",10
"definitely one of the",8
"depending on where you",6
"deputy director of the",3
"despite the fact that",27
"did a good job",15
"did a great job",41
"did an awesome job",7
"did i tell you",19
"did not appear to",4
"did not go to",3
"did not have a",16
"did not have the",14
"did not know about",5
"did not know it",4
"did not think it",3
"did not want to",38
"didnt even have a",5
"didnt even make it",4
"didnt know it was",10
"didnt know what the",4
"didnt know what to",8
"didnt take long for",5
"didnt think it would",6
"didnt think there was",3
"didnt want him to",4
"didnt want to be",12
"didnt want to give",4
"died as a result",5
"died at the age",5
"died of a heart",7
"do a better job",10
"do a good job",10
"do a lot of",31
"do any of you",11
"do anything about it",11
"do it as much",3
"do it but he",3
"do it for the",11
"do it ill do",3
"do more than just",3
"do not have a",16
"do not have the",23
"do not have to",30
"do not need to",17
"do not try to",5
"do not use the",3
"do not want to",46
"do something about it",14
"do something nice for",3
"do the right thing",26
"do the same thing",24
"do we really want",5
"do you ever see",4
"do you have any",83
"do you know how",25
"do you think it",15
"do you think the",50
"do you think they",10
"do you think youre",4
"do you want me",22
"do you want the",5
"do you want to",114
"does a great job",11
"does it mean for",3
"does it take for",4
"does not apply to",5
"does not have the",8
"does not have to",8
"does not know how",5
"does not know what",7
"doesnt have much to",4
"doesnt have the same",7
"doesnt have to be",18
"doesnt know how to",14
"doesnt look like a",5
"doesnt look like much",3
"doesnt mean you have",11
"doesnt mean you should",9
"doesnt seem to mind",4
"doesnt want to be",11
"doing a good job",16
"doing a great job",21
"doing the same thing",23
"doing what you love",10
"done a great job",8
"done but i know",3
"dont be afraid to",26
"dont care what you",9
"dont even know where",5
"dont feel like i",6
"dont get me wrong",59
"dont have a lot",6
"dont have to be",48
"dont have to change",3
"dont have to go",20
"dont have to think",3
"dont have to worry",22
"dont know about it",3
"dont know about that",7
"dont know how long",6
"dont know if he",4
"dont know if it",15
"dont know if that",9
"dont know if they",9
"dont know what i",31
"dont know what it",23
"dont know what the",24
"dont know what to",82
"dont know what you",9
"dont think i have",14
"dont think its a",13
"dont think ive ever",23
"dont think this is",7
"dont want people to",3
"dont want them to",11
"dont want to be",58
"dont want to get",30
"dont want to have",12
"dont want to know",14
"dont want to take",4
"dont want to talk",9
"dont waste your time",5
"down the hall and",4
"down the middle of",3
"down the road to",4
"down to the last",4
"down with the flu",3
"drink at the bar",3
"drove up to the",3
"during his time in",5
"during the holiday season",10
"during this time of",4
"during world war ii",6
"each and every day",8
"each of us has",4
"each one of them",10
"each other for the",10
"earlier in the day",14
"earlier in the season",5
"earlier in the week",10
"earlier this year and",5
"early in the season",5
"early in the second",4
"earned the right to",4
"easier for people to",3
"easier to deal with",3
"eat a lot of",4
"else in the world",11
"end of last year",9
"end of the day",93
"end of the game",5
"end of the last",5
"end of the month",27
"end of the season",11
"end of the second",6
"end of the st",4
"end of the week",28
"end of the year",47
"ended up in the",10
"ended up on the",3
"ends up being a",3
"enough for me to",17
"enough to have the",3
"even if it does",4
"even if it is",23
"even if it means",8
"even if it was",9
"even if they did",3
"even if you have",15
"even in the midst",5
"even think about it",4
"even though he is",6
"ever been a part",4
"ever since i was",4
"ever there was a",4
"every day i know",3
"every day of the",13
"every now and then",42
"every one of them",11
"every one of us",7
"every single day i",7
"everyone else in the",6
"exactly the kind of",4
"exactly what i wanted",6
"excited about the future",4
"excited about the possibilities",3
"excited to see how",10
"excited to try it",5
"executive director of the",11
"fact i dont think",3
"fair to say that",7
"fall back to sleep",3
"fall in love with",52
"falling in love with",22
"family and friends of",7
"family members and friends",3
"far as i know",16
"far cry from the",4
"far more likely to",4
"far too few of",3
"feel like theres a",4
"feel like they have",4
"feel like this is",6
"feel the need to",42
"feeling sorry for myself",5
"feels good to be",23
"fell in love with",56
"felt it was appropriate",3
"few times a year",4
"fifty shades of grey",10
"figure out how to",80
"figuring out how to",16
"film of the year",3
"final day of the",3
"find a way to",69
"find it hard to",15
"find the strength to",3
"finds a way to",6
"first day of the",18
"first half of the",18
"first minutes of the",3
"first of its kind",4
"first of the year",8
"first quarter of the",5
"first round of the",11
"first thing in the",7
"first time i have",8
"first time in the",6
"first time in weeks",5
"first time it was",8
"first time ive ever",5
"first time since the",5
"first time this season",5
"first time this year",5
"focus should be on",3
"food and drug administration",7
"food and wine festival",4
"foot in the door",3
"football hall of fame",4
"footprints in the sand",3
"for a couple of",82
"for a few hours",40
"for a few minutes",60
"for a few seconds",17
"for a few years",19
"for a job as",4
"for a large number",3
"for a long time",103
"for a lot of",25
"for a number of",15
"for a pair of",6
"for a reason and",11
"for a second time",3
"for all of our",17
"for all of the",43
"for all of them",8
"for all of us",41
"for all the different",3
"for all these years",4
"for an hour or",5
"for as long as",28
"for at least one",13
"for at least three",5
"for at least two",7
"for at least years",4
"for her role in",4
"for hours on end",5
"for it on the",3
"for just a few",10
"for long periods of",5
"for making me feel",6
"for many many years",7
"for me as a",13
"for me it was",18
"for me its a",4
"for me this year",5
"for me to be",25
"for me to get",29
"for me to leave",8
"for me to really",4
"for men and women",5
"for more information about",12
"for more information call",8
"for more information contact",8
"for more information on",13
"for more than a",16
"for more than half",4
"for more than minutes",3
"for most of the",34
"for much of the",8
"for nearly two years",3
"for people who are",10
"for quite some time",25
"for some of the",14
"for some reason i",50
"for some time and",7
"for that i am",8
"for the american people",3
"for the benefit of",16
"for the chance to",13
"for the day the",13
"for the end of",13
"for the fact that",20
"for the first half",6
"for the first time",453
"for the first week",4
"for the foreseeable future",9
"for the game and",3
"for the good of",10
"for the greater good",7
"for the lack of",18
"for the last time",17
"for the last years",11
"for the launch of",4
"for the long haul",7
"for the love of",40
"for the most part",70
"for the new york",8
"for the next few",31
"for the next one",8
"for the next two",23
"for the next year",8
"for the number of",3
"for the past four",3
"for the past three",8
"for the past two",14
"for the past years",14
"for the purpose of",13
"for the purposes of",12
"for the release of",6
"for the remainder of",16
"for the rest of",207
"for the right time",4
"for the right to",6
"for the role of",6
"for the sake of",51
"for the salvation of",4
"for the same reason",13
"for the same reasons",9
"for the school year",5
"for the season and",5
"for the second half",6
"for the second time",22
"for the support of",3
"for the th time",17
"for the third time",12
"for the time being",23
"for the two of",4
"for the white house",4
"for the world to",7
"for the year and",8
"for their hard work",3
"for them in the",5
"for them to get",6
"for themselves they are",3
"for this is the",5
"for this year to",3
"for those that are",3
"for those who are",18
"for those who have",21
"for those who like",3
"for those who need",6
"for those who want",10
"for two weeks after",4
"for two weeks and",7
"for up to a",3
"for us to get",7
"for years to come",16
"for you and all",4
"found a way to",15
"found out about the",4
"found the time to",5
"four of us are",3
"fraction of the cost",4
"free and open to",6
"friday of the month",4
"friends and family in",7
"friends and i were",4
"friends old and new",3
"from a year ago",7
"from across the country",6
"from all of us",21
"from am to pm",30
"from bar to bar",3
"from new york to",4
"from pm to pm",12
"from some of the",9
"from the beginning of",6
"from the beginning we",3
"from the bottom of",15
"from the city of",3
"from the early s",3
"from the early th",3
"from the east coast",4
"from the fact that",15
"from the new york",4
"from the other side",11
"from the right side",5
"from the sale of",4
"from the state of",4
"from the university of",11
"from the very beginning",12
"game of the season",12
"game of thrones hbo",3
"gave birth to me",4
"gearing up for the",17
"george w bush and",3
"get a chance to",43
"get a couple of",10
"get a lot more",8
"get away from this",3
"get back on the",19
"get back to the",28
"get back to where",4
"get back to work",31
"get caught up in",14
"get down to the",5
"get in on the",16
"get in the car",7
"get it over with",10
"get mad at me",6
"get me wrong im",5
"get more information about",3
"get on a plane",9
"get out of it",12
"get out of the",67
"get out there and",19
"get rid of all",9
"get rid of it",9
"get rid of that",6
"get the chance to",26
"get this done and",3
"get to see you",16
"get to the bottom",9
"get to the next",4
"gets in the way",10
"getting a chance to",6
"getting a lot of",21
"getting back on track",6
"getting ready for the",52
"getting to know my",4
"gift certificate to the",8
"give in to the",5
"glass of wine and",11
"go along with the",10
"go back to the",44
"go back to this",3
"go for a ride",5
"go out and do",5
"go out in the",5
"go out there and",4
"go out to the",13
"go to the hospital",11
"go to the store",13
"go to work for",5
"goal is to be",6
"goal is to get",9
"goes on in the",4
"goes without saying that",6
"going in the right",5
"going on in the",38
"going out in the",5
"going so far as",4
"going to be a",342
"going to be as",4
"going to be difficult",6
"going to be hard",9
"going to be harder",5
"going to be important",3
"going to be in",50
"going to be interesting",9
