"w1","prediction","rank"
"a","beverage",11
"a","bias",7
"a","bible",17
"a","biblical",6
"a","bicycle",32
"a","bid",45
"a","big",1956
"a","bigger",172
"a","bike",98
"a","bikini",9
"a","bill",180
"a","billboard",14
"a","billion",130
"a","billionaire",10
"a","bin",7
"a","binder",5
"a","bio",11
"a","biography",7
"a","biological",7
"a","bird",63
"a","birth",14
"a","birthday",110
"a","biscuit",9
"a","bison",3
"a","bit",2260
"a","bite",54
"a","bitter",35
"a","bizarre",20
"a","black",312
"a","blackberry",16
"a","bladder",5
"a","blade",4
"a","blank",41
"a","blanket",54
"a","blast",300
"a","blaze",6
"a","blend",35
"a","blender",26
"a","blessing",102
"a","blind",44
"a","blister",9
"a","blizzard",6
"a","bloated",8
"a","block",82
"a","blockbuster",10
"a","blog",224
"a","blogger",33
"a","blond",8
"a","blonde",13
"a","blood",39
"a","bloody",33
"a","blow",41
"a","blown",6
"a","blue",85
"a","blunt",25
"a","blur",21
"a","blurb",4
"a","bmw",10
"a","board",73
"a","boarding",6
"a","boat",83
"a","boatload",5
"a","body",68
"a","boil",87
"a","bold",41
"a","bomb",51
"a","bond",38
"a","bone",27
"a","bonfire",14
"a","bonus",64
"a","book",594
"a","booking",3
"a","books",3
"a","bookstore",10
"a","boom",12
"a","booming",16
"a","boost",47
"a","boot",17
"a","booth",26
"a","border",24
"a","boring",36
"a","boss",74
"a","botched",5
"a","bottle",172
"a","bottom",10
"a","bottomless",4
"a","boulevard",3
"a","bouquet",12
"a","bout",18
"a","boutique",14
"a","bow",42
"a","bowl",171
"a","bowling",12
"a","box",166
"a","boxed",3
"a","boxer",7
"a","boxing",7
"a","boy",195
"a","boyfriend",59
"a","boys",9
"a","bra",22
"a","bracelet",15
"a","brad",6
"a","brain",45
"a","branch",20
"a","brand",127
"a","brandnew",14
"a","brass",5
"a","brave",19
"a","brawl",4
"a","brazilian",10
"a","breach",6
"a","break",324
"a","breakdown",19
"a","breakfast",43
"a","breaking",8
"a","breakup",14
"a","breast",14
"a","breath",36
"a","breather",9
"a","breathing",5
"a","breathtaking",13
"a","breed",5
"a","breeze",23
"a","brew",9
"a","brewer",10
"a","brewery",20
"a","bribe",11
"a","brick",36
"a","bridal",6
"a","bride",12
"a","bridesmaid",8
"a","bridge",51
"a","brief",187
"a","bright",101
"a","brighter",18
"a","brilliant",56
"a","brisk",10
"a","british",48
"a","broad",70
"a","broadband",4
"a","broader",44
"a","broadway",15
"a","brochure",4
"a","broken",105
"a","bronco",9
"a","bronze",22
"a","brooklyn",12
"a","brothel",6
"a","brother",38
"a","brown",35
"a","brownie",14
"a","brunch",10
"a","brunette",5
"a","brush",19
"a","brutal",24
"a","bubba",4
"a","bubble",24
"a","buck",19
"a","bucket",44
"a","bud",10
"a","buddhist",7
"a","budding",6
"a","buddy",21
"a","budget",104
"a","budweiser",3
"a","buffalo",12
"a","buffet",15
"a","bug",26
"a","builder",5
"a","building",88
"a","built",6
"a","bull",18
"a","bulldog",7
"a","bulldozer",5
"a","bullet",38
"a","bullhorn",4
"a","bully",23
"a","bum",20
"a","bummer",30
"a","bump",15
"a","bumper",8
"a","bumpy",9
"a","bun",7
"a","bunch",492
"a","bundle",21
"a","bunny",18
"a","burden",30
"a","burgeoning",6
"a","burger",45
"a","burlesque",5
"a","burn",4
"a","burning",20
"a","burrito",11
"a","burst",11
"a","bus",95
"a","bush",7
"a","bushel",3
"a","business",271
"a","bust",16
"a","busy",155
"a","but",17
"a","butcher",4
"a","butter",4
"a","butterfly",26
"a","button",58
"a","buyer",27
"a","buzz",23
"a","by",16
"a","byproduct",13
"a","bystander",8
"a","c",61
"a","cab",39
"a","cabin",13
"a","cabinet",21
"a","cable",18
"a","cache",7
"a","cadillac",9
"a","cafe",24
"a","cage",14
"a","cake",74
"a","cakewalk",5
"a","calculator",3
"a","calendar",21
"a","calf",6
"a","california",35
"a","call",320
"a","calling",10
"a","calm",18
"a","camel",8
"a","cameo",13
"a","camera",76
"a","camp",27
"a","campaign",93
"a","campfire",11
"a","camping",4
"a","campus",24
"a","can",69
"a","canadian",18
"a","cancellation",5
"a","cancer",24
"a","candidate",86
"a","candle",26
"a","cando",3
"a","candy",25
"a","cane",11
"a","canine",6
"a","canoe",5
"a","canvas",12
"a","cap",19
"a","cape",9
"a","capella",5
"a","capital",20
"a","capitalist",4
"a","cappella",6
"a","capsule",3
"a","captain",18
"a","captivating",5
"a","captive",6
"a","car",439
"a","caravan",6
"a","card",178
"a","cardboard",16
"a","cardiac",4
"a","cardigan",6
"a","care",16
"a","career",146
"a","careful",11
"a","carefully",15
"a","caring",12
"a","carnival",8
"a","carrier",11
"a","cars",9
"a","cart",11
"a","cartoon",17
"a","case",212
"a","cash",31
"a","casino",25
"a","cast",21
"a","casting",12
"a","casual",42
"a","cat",98
"a","catalog",5
"a","catalyst",10
"a","catastrophe",10
"a","catch",25
"a","catchy",7
"a","category",22
"a","catholic",36
"a","cats",6
"a","cause",73
"a","cavalier",4
"a","cave",16
"a","cd",53
"a","ceiling",9
"a","celebration",54
"a","celebratory",8
"a","celebrity",47
"a","celery",5
"a","cell",57
"a","cellphone",23
"a","celtic",4
"a","cement",5
"a","cemetery",11
"a","cent",28
"a","center",38
"a","centerpiece",12
"a","central",56
"a","century",58
"a","ceo",10
"a","cereal",8
"a","cerebral",3
"a","ceremony",21
"a","certain",318
"a","certificate",18
"a","certified",38
"a","cesspool",3
"a","chain",48
"a","chainsaw",9
"a","chair",65
"a","chalkboard",6
"a","challenge",194
"a","challenger",7
"a","challenging",18
"a","champagne",18
"a","champion",35
"a","champions",4
"a","championship",53
"a","chance",965
"a","chanel",3
"a","change",214
"a","changing",8
"a","channel",15
"a","chapel",4
"a","chapter",29
"a","character",92
"a","charcoal",8
"a","charge",72
"a","charismatic",5
"a","charitable",4
"a","charity",35
"a","charm",24
"a","charming",21
"a","chart",6
"a","chase",9
"a","chat",30
"a","cheap",51
"a","cheaper",17
"a","cheater",6
"a","check",83
"a","checklist",6
"a","cheerful",10
"a","cheery",8
"a","cheese",23
"a","cheeseburger",7
"a","cheesy",7
"a","chef",36
"a","chemical",23
"a","chemist",7
"a","cherry",31
"a","chess",10
"a","chest",8
"a","chevy",12
"a","chicago",39
"a","chicken",60
"a","chief",16
"a","child",511
"a","childhood",17
"a","childrens",26
"a","childs",38
"a","chili",10
"a","chill",23
"a","chilled",13
"a","chilly",10
"a","chinese",44
"a","chip",18
"a","chiropractor",8
"a","chocolate",51
"a","choice",131
"a","choke",4
"a","chore",18
"a","chorizo",3
"a","chorus",15
"a","christian",65
"a","christmas",118
"a","chronic",11
"a","chrysler",7
"a","chuckle",17
"a","chunky",8
"a","church",89
"a","cigar",20
"a","cigarette",32
"a","cinch",6
"a","cinderella",4
"a","circle",51
"a","circus",17
"a","citation",9
"a","citizen",25
"a","citrus",7
"a","city",228
"a","civic",3
"a","civil",64
"a","civilian",32
"a","civilization",8
"a","civilized",4
"a","claim",51
"a","clash",8
"a","class",166
"a","classic",117
"a","classmate",11
"a","classroom",31
"a","clean",105
"a","cleaner",12
"a","cleaning",9
"a","cleanse",4
"a","cleansing",5
"a","clear",151
"a","clenched",3
"a","clever",33
"a","cliche",6
"a","click",9
"a","client",85
"a","clients",7
"a","cliff",27
"a","climax",4
"a","clinic",18
"a","clip",21
"a","clock",14
"a","clockwork",4
"a","clone",10
"a","close",180
"a","closed",32
"a","closer",58
"a","closet",23
"a","closeup",12
"a","closing",10
"a","clothing",9
"a","cloud",35
"a","cloudy",9
"a","clover",4
"a","clown",26
"a","club",73
"a","clue",57
"a","clueless",4
"a","cluster",18
"a","clutch",12
"a","coach",84
"a","coalition",54
"a","coarse",9
"a","coat",30
"a","cocaine",4
"a","cockroach",4
"a","cocktail",68
"a","coconut",7
"a","code",26
"a","coffee",101
"a","coffin",6
"a","coherent",6
"a","coin",19
"a","coincidence",29
"a","coke",9
"a","colander",13
"a","cold",193
"a","colder",4
"a","collaboration",15
"a","collage",15
"a","collapsed",4
"a","collar",4
"a","colleague",36
"a","collection",76
"a","collective",28
"a","college",135
"a","colonial",5
"a","color",40
"a","colorado",11
"a","colorful",21
"a","colossal",9
"a","colt",5
"a","column",29
"a","coma",20
"a","combat",7
"a","combination",109
"a","combined",49
"a","combo",17
"a","come",5
"a","comeback",53
"a","comedian",13
"a","comedic",7
"a","comedy",42
"a","comfort",12
"a","comfortable",32
"a","comic",26
"a","coming",12
"a","command",3
"a","comment",194
"a","commentary",4
"a","commercial",84
"a","commission",26
"a","commitment",46
"a","committed",5
"a","committee",41
"a","common",130
"a","communication",12
"a","communications",11
"a","communist",7
"a","community",166
"a","compact",12
"a","companion",19
"a","company",208
"a","companys",10
"a","comparable",6
"a","compass",6
"a","compassionate",5
"a","compelling",32
"a","competent",10
"a","competing",11
"a","competition",32
"a","competitive",53
"a","complaint",47
"a","complementary",8
"a","complete",189
"a","completely",65
"a","completion",7
"a","complex",43
"a","complicated",32
"a","compliment",53
"a","complimentary",17
"a","component",7
"a","composer",6
"a","composite",7
"a","comprehensive",53
"a","computer",139
"a","concept",26
"a","concern",43
"a","concerned",12
"a","concert",83
"a","concerted",7
"a","concession",8
"a","conclusion",13
"a","concrete",28
"a","concussion",46
"a","condition",42
"a","conditional",8
"a","conditioning",6
"a","condo",13
"a","condom",19
"a","cone",10
"a","conference",150
"a","confession",11
"a","confidence",9
"a","confident",8
"a","conflict",39
"a","confused",6
"a","congregation",8
"a","congress",6
"a","congressional",30
"a","congressman",7
"a","connection",46
"a","conscience",7
"a","conscious",12
"a","consensus",15
"a","consequence",15
"a","conservative",62
"a","considerable",29
"a","consistent",33
"a","consolation",4
"a","conspiracy",21
"a","constant",57
"a","constitutional",33
"a","consultant",35
"a","consultation",6
"a","consumer",25
"a","contact",19
"a","container",17
"a","contemporary",26
"a","contender",19
"a","contest",58
"a","contestant",5
"a","continent",9
"a","continual",8
"a","continuation",15
"a","continuing",21
"a","continuous",14
"a","continuously",3
"a","continuum",3
"a","contract",112
"a","contractor",19
"a","contradiction",11
"a","contrarian",3
"a","contrast",8
"a","contribution",10
"a","contributor",12
"a","controller",6
"a","controlling",8
"a","controversial",41
"a","convenience",12
"a","convenient",15
"a","convention",13
"a","conversation",136
"a","convertible",5
"a","convicted",11
"a","conviction",22
"a","cook",19
"a","cookbook",9
"a","cookie",53
"a","cooking",22
"a","cool",170
"a","cooler",14
"a","cooling",14
"a","coop",6
"a","coordinated",5
"a","coordinator",3
"a","coowner",4
"a","cop",45
"a","copay",3
"a","copout",5
"a","copy",212
"a","copyright",8
"a","coral",5
"a","core",22
"a","cork",8
"a","corkscrew",3
"a","corn",9
"a","corner",68
"a","corporate",33
"a","corpse",8
"a","correct",6
"a","correction",5
"a","correlation",8
"a","cortisone",4
"a","cost",38
"a","costco",3
"a","costume",17
"a","cottage",11
"a","cotton",6
"a","couch",27
"a","coughing",4
"a","council",29
"a","count",16
"a","counter",12
"a","country",137
"a","couple",1830
"a","couples",7
"a","coupon",34
"a","courageous",9
"a","courier",3
"a","course",52
"a","court",95
"a","courtesy",7
"a","cousin",20
"a","covenant",3
"a","cover",63
"a","covered",8
"a","cow",39
"a","coward",8
"a","cowboy",16
"a","coworker",41
"a","coyote",6
"a","cozy",17
"a","cpu",4
"a","crab",6
"a","crack",25
"a","cracked",9
"a","cracker",7
"a","crackling",3
"a","craft",36
"a","crafting",6
"a","crafty",10
"a","craigslist",4
"a","cramped",8
"a","cranky",5
"a","crap",19
"a","crash",39
"a","crate",5
"a","crater",6
"a","craving",21
"a","crawl",4
"a","crazy",136
"a","cream",11
"a","creamy",22
"a","creation",6
"a","creative",77
"a","creature",10
"a","credible",13
"a","credit",81
"a","creek",9
"a","creepy",16
"a","crepe",5
"a","crew",26
"a","cricket",5
"a","crime",130
"a","criminal",85
"a","crippling",8
"a","crisis",40
"a","crisp",26
"a","crispy",13
"a","critical",67
"a","crook",5
"a","cross",43
"a","crossover",9
"a","crossroads",7
"a","crowd",83
"a","crowded",32
"a","crown",13
"a","crucial",36
"a","cruel",13
"a","cruise",32
"a","crush",42
"a","crushing",5
"a","crutch",5
"a","cry",8
"a","crying",11
"a","crystal",12
"a","cub",9
"a","cuban",12
"a","cubicle",5
"a","cubs",11
"a","cucumber",4
"a","culinary",25
"a","cult",19
"a","cultural",26
"a","culture",63
"a","cunning",5
"a","cup",166
"a","cupcake",32
"a","curator",3
"a","curb",6
"a","cure",32
"a","curious",26
"a","current",40
"a","curse",17
"a","curve",13
"a","custard",5
"a","custom",51
"a","customer",81
"a","cut",61
"a","cute",138
"a","cyber",6
"a","cycle",8
"a","cylinder",5
"a","cynic",3
"a","czech",5
"a","d",44
"a","dab",6
"a","dad",19
"a","dagger",4
"a","daily",129
"a","dairy",12
"a","dam",5
"a","damaged",4
"a","damn",119
"a","damned",3
"a","damp",14
"a","damper",11
"a","dance",60
"a","dancer",15
"a","danger",20
"a","dangerous",62
"a","dapper",5
"a","daring",12
"a","dark",125
"a","darker",13
"a","darling",11
"a","darn",9
"a","dash",28
"a","dashing",4
"a","data",21
"a","database",17
"a","date",144
"a","dating",6
"a","daughter",51
"a","david",7
"a","day",1429
"a","daycare",8
"a","daylong",8
"a","days",38
"a","dc",12
"a","de",9
"a","dead",71
"a","deadline",30
"a","deadly",31
"a","deaf",4
"a","deal",266
"a","dealer",13
"a","dear",24
"a","death",52
"a","debate",42
"a","debut",7
"a","decade",273
"a","december",11
"a","decent",143
"a","decision",165
"a","decisive",10
"a","deck",15
"a","decline",30
"a","decorated",5
"a","decorative",10
"a","decoy",5
"a","decrease",17
"a","dedicated",33
"a","deep",193
"a","deeper",32
"a","deer",17
"a","default",10
"a","defendant",17
"a","defense",43
"a","defensive",54
"a","deficit",40
"a","defined",6
"a","defining",10
"a","definite",38
"a","definition",7
"a","deft",5
"a","degree",147
"a","delay",20
"a","delayed",10
"a","delegate",8
"a","deli",7
"a","delicate",25
"a","delicately",3
"a","delicious",85
"a","deliciously",6
"a","delight",15
"a","delightful",32
"a","delivery",8
"a","democracy",11
"a","democrat",78
"a","democratic",58
"a","demon",11
"a","demonstration",22
"a","dent",12
"a","dental",9
"a","dentist",18
"a","department",33
"a","departure",12
"a","deposit",10
"a","depression",3
"a","derby",10
"a","descent",3
"a","description",24
"a","desert",15
"a","design",36
"a","designer",34
"a","desire",34
"a","desired",4
"a","desk",26
"a","desktop",12
"a","desperate",37
"a","dessert",20
"a","destination",43
"a","destructive",8
"a","detailed",33
"a","detective",18
"a","determined",8
"a","deterrent",11
"a","detour",10
"a","devastating",25
"a","developer",25
"a","developmental",7
"a","device",20
"a","devil",9
"a","diagnosis",17
"a","dialogue",12
"a","diamond",23
"a","diaper",21
"a","diary",11
"a","dice",6
"a","dick",60
"a","dictator",8
"a","dictionary",8
"a","diehard",16
"a","diesel",6
"a","diet",48
"a","difference",285
"a","different",683
"a","difficult",119
"a","digital",77
"a","dilapidated",6
"a","dilemma",9
"a","dime",47
"a","dimension",3
"a","dining",19
"a","dinner",63
"a","dinosaur",9
"a","dip",19
"a","diplomat",5
"a","direct",117
"a","direction",8
"a","director",35
"a","directors",3
"a","dirt",10
"a","dirty",48
"a","disadvantage",15
"a","disappointing",23
"a","disappointment",24
"a","disaster",56
"a","disc",10
"a","discipline",5
"a","disclosure",3
"a","disco",6
"a","disconnect",3
"a","discount",56
"a","discounted",13
"a","discussion",73
"a","disease",39
"a","disgusting",5
"a","dish",27
"a","dishwasher",5
"a","dislike",5
"a","disney",19
"a","disorder",5
"a","display",19
"a","disproportionate",10
"a","disservice",10
"a","distance",37
"a","distant",35
"a","distinct",38
"a","distinction",13
"a","distinguished",6
"a","distraction",27
"a","distress",4
"a","distributor",5
"a","district",58
"a","disturbing",13
"a","ditch",11
"a","dive",11
"a","diverse",25
"a","diversity",8
"a","division",41
"a","divorce",23
"a","diy",7
"a","dj",42
"a","dl",6
"a","do",16
"a","doc",15
"a","dock",3
"a","doctor",114
"a","doctorate",13
"a","doctors",21
"a","document",24
"a","documentary",55
"a","dog",238
"a","doll",24
"a","dollar",70
"a","dolphin",11
"a","domestic",31
"a","dominant",21
"a","domino",4
"a","donation",77
"a","donor",7
"a","dont",12
"a","door",56
"a","doorknob",4
"a","doorway",4
"a","dope",23
"a","dose",17
"a","dot",9
"a","double",214
"a","doubt",55
"a","down",32
"a","downer",5
"a","download",8
"a","downsizing",3
"a","downtown",36
"a","dozen",293
"a","dr",10
"a","draft",34
"a","drag",25
"a","dragon",6
"a","drainage",9
"a","drama",16
"a","dramatic",68
"a","draw",29
"a","drawer",19
"a","drawing",28
"a","dream",323
"a","dreamer",12
"a","dreamlike",5
"a","dreamy",7
"a","dreary",8
"a","dress",82
"a","drill",9
"a","drink",195
"a","drinking",10
"a","drive",52
"a","driveby",4
"a","driver",34
"a","drivers",19
"a","driving",25
"a","drizzle",11
"a","drop",70
"a","dropoff",6
"a","drought",9
"a","drug",87
"a","drum",20
"a","drummer",16
"a","drunk",28
"a","drunken",22
"a","dry",42
"a","dual",21
"a","duck",34
"a","dude",67
"a","duel",11
"a","duet",11
"a","dull",29
"a","dumb",37
"a","dump",10
"a","dumping",5
"a","dumpster",9
"a","duo",7
"a","durable",5
"a","dust",5
"a","dusting",4
"a","dusty",15
"a","dutch",8
"a","dutiful",7
"a","duty",15
"a","dvd",23
"a","dying",16
"a","dynamic",28
"a","dystopian",7
"a","early",5
"a","earthquake",8
"a","easy",6
"a","era",84
"a","european",29
"a","even",4
"a","fabulous",137
"a","face",44
"a","facebook",81
"a","facial",7
"a","facilitator",5
"a","facility",19
"a","fact",57
"a","factor",56
"a","factory",24
"a","fad",6
"a","fading",5
"a","failed",36
"a","failure",69
"a","fair",159
"a","fairly",80
"a","fairy",18
"a","fairytale",4
"a","fake",67
"a","fall",37
"a","fallen",7
"a","falling",11
"a","false",54
"a","familiar",41
"a","family",406
"a","famous",42
"a","fan",422
"a","fanatic",6
"a","fancy",45
"a","fantastic",218
"a","fantasy",24
"a","far",64
"a","farm",42
"a","farmer",23
"a","farmers",13
"a","fascinating",45
"a","fashion",65
"a","fast",62
"a","faster",20
"a","fastpaced",7
"a","fat",75
"a","fatal",31
"a","fatality",5
"a","father",74
"a","faucet",4
"a","fault",15
"a","faux",11
"a","favor",75
"a","favorable",9
"a","favorite",153
"a","fbi",3
"a","fear",22
"a","fearful",4
"a","fearless",5
"a","feast",15
"a","feat",11
"a","feather",11
"a","feature",54
"a","featured",9
"a","federal",247
"a","fee",40
"a","feed",6
"a","feel",21
"a","feeling",145
"a","feisty",5
"a","fellow",94
"a","felony",35
"a","felt",7
"a","female",111
"a","feminine",8
"a","fence",37
"a","ferocious",7
"a","ferrari",8
"a","ferry",6
"a","fertility",4
"a","festival",22
"a","festive",11
"a","fetish",5
"a","fever",30
"a","few",4900
"a","fickle",4
"a","fiction",6
"a","fictional",13
"a","field",92
"a","fierce",23
"a","fiery",17
"a","fifth",37
"a","fig",7
"a","fight",161
"a","fighter",19
"a","fighting",6
"a","figure",19
"a","file",31
"a","filing",16
"a","filipino",4
"a","filled",3
"a","film",149
"a","filmmaker",8
"a","filter",8
"a","filthy",5
"a","final",134
"a","finalist",18
"a","financial",74
"a","find",6
"a","finding",8
"a","fine",234
"a","finer",3
"a","finger",30
"a","finish",20
"a","finisher",3
"a","finite",5
"a","finnish",4
"a","fire",177
"a","fireball",6
"a","fired",4
"a","firefighter",18
"a","fireplace",10
"a","fireworks",3
"a","firm",65
"a","first",193
"a","firstclass",8
"a","firstyear",8
"a","fish",59
"a","fishbowl",3
"a","fist",19
"a","fistful",4
"a","fit",43
"a","fitness",17
"a","fitting",23
"a","five",32
"a","fiveyear",35
"a","fix",16
"a","fixed",22
"a","flag",18
"a","flash",48
"a","flashback",6
"a","flashlight",9
"a","flat",68
"a","flavor",14
"a","flavorful",7
"a","flawless",10
"a","flea",8
"a","fleet",7
"a","flexible",8
"a","flick",6
"a","flight",97
"a","flip",11
"a","float",6
"a","floating",13
"a","flock",11
"a","flood",26
"a","floor",13
"a","floral",8
"a","florida",29
"a","flower",48
"a","flu",8
"a","fluffy",6
"a","fluid",3
"a","fluke",15
"a","flurry",20
"a","flute",6
"a","fly",34
"a","flyer",13
"a","flying",25
"a","foam",6
"a","focus",32
"a","focused",11
"a","fog",8
"a","folding",5
"a","folk",6
"a","follow",154
"a","follower",61
"a","following",21
"a","followup",25
"a","food",127
"a","fool",97
"a","foolish",7
"a","foot",162
"a","football",100
"a","footer",10
"a","footnote",8
"a","for",57
"a","force",32
"a","forced",10
"a","ford",27
"a","foreign",65
"a","forensic",11
"a","forest",23
"a","forever",9
"a","fork",53
"a","form",91
"a","formal",61
"a","former",541
"a","formidable",19
"a","formula",21
"a","fort",12
"a","fortune",33
"a","forum",24
"a","foster",16
"a","foul",37
"a","foundation",21
"a","fountain",11
"a","four",34
"a","fourth",54
"a","fox",17
"a","fraction",46
"a","fractured",15
"a","fragmented",3
"a","frame",21
"a","framework",25
"a","franchise",38
"a","frank",4
"a","frantic",11
"a","fraud",18
"a","freak",38
"a","free",635
"a","freebie",14
"a","freedom",9
"a","freelance",32
"a","freelancer",6
"a","freeze",7
"a","freezer",11
"a","freezing",4
"a","french",80
"a","frenzy",11
"a","frequent",29
"a","fresh",143
"a","freshly",4
"a","freshman",81
"a","friday",99
"a","fried",13
"a","friend",725
"a","friendly",52
"a","friends",63
"a","friendship",14
"a","from",9
"a","front",33
"a","frosty",8
"a","frozen",15
"a","fruit",35
"a","frying",12
"a","full",498
"a","fullblown",11
"a","fullfledged",12
"a","fulllength",8
"a","fullon",3
"a","fulltime",56
"a","fully",35
"a","fun",449
"a","function",21
"a","fund",20
"a","fundamental",23
"a","funding",9
"a","fundraiser",40
"a","fundraising",27
"a","funeral",29
"a","funk",9
"a","funny",96
"a","fur",6
"a","fuss",11
"a","future",140
"a","g",32
"a","gaggle",10
"a","gal",11
"a","galaxy",8
"a","gallant",3
"a","gallery",27
"a","galley",3
"a","gallon",75
"a","gamble",10
"a","game",676
"a","gamechanger",11
"a","gamer",9
"a","gaming",7
"a","gang",31
"a","gap",19
"a","garage",42
"a","garbage",9
"a","garden",57
"a","garlic",5
"a","gas",60
"a","gateway",12
"a","gathering",29
"a","gator",9
"a","gauge",9
"a","gay",60
"a","gazillion",9
"a","gelato",3
"a","gem",24
"a","gender",7
"a","general",105
"a","generally",7
"a","generation",51
"a","generic",13
"a","generous",50
"a","genius",69
"a","genre",18
"a","gentle",28
"a","gentleman",36
"a","gently",3
"a","genuine",37
"a","genuinely",6
"a","geologist",6
"a","german",41
"a","gesture",9
"a","get",26
"a","getaway",10
"a","geyser",3
"a","ghost",50
"a","giant",157
"a","giants",10
"a","gift",302
"a","gifted",12
"a","gig",28
"a","gigantic",19
"a","giggle",4
"a","gin",9
"a","ginormous",3
"a","giraffe",10
"a","girl",470
"a","girlfriend",39
"a","girls",45
"a","give",8
"a","given",57
"a","giver",7
"a","glance",16
"a","glass",189
"a","glimmer",13
"a","glimpse",66
"a","glitch",7
"a","global",91
"a","gloomy",10
"a","glorified",9
"a","glorious",43
"a","gloriously",4
"a","glove",14
"a","glowing",10
"a","glue",15
"a","glutenfree",8
"a","gm",15
"a","go",57
"a","goal",151
"a","goat",16
"a","god",69
"a","goddess",9
"a","godsend",6
"a","going",12
"a","gold",57
"a","golden",56
"a","golf",32
"a","good",4719
"a","goodie",8
"a","goodlooking",5
"a","goody",3
"a","goofy",7
"a","google",36
"a","goose",11
"a","goosebumps",3
"a","gorgeous",89
"a","gourmet",9
"a","government",98
"a","gown",6
"a","gps",9
"a","graceful",6
"a","grad",15
"a","grade",32
"a","graduate",78
"a","graduation",10
"a","grain",12
"a","grammy",18
"a","grand",115
"a","grandmother",14
"a","grant",39
"a","grape",8
"a","graphic",24
"a","grass",6
"a","grassroots",12
"a","grassy",9
"a","grave",8
"a","gray",34
"a","great",5206
"a","greater",59
"a","greek",29
"a","green",112
"a","greener",5
"a","greenhouse",7
"a","grey",15
"a","grievance",4
"a","grill",18
"a","grilled",20
"a","grinder",3
"a","grip",19
"a","grizzly",9
"a","grocery",29
"a","groove",10
"a","gross",15
"a","grotesque",3
"a","group",522
"a","growing",113
"a","grown",43
"a","grownup",10
"a","growth",18
"a","grudge",12
"a","grueling",8
"a","guarantee",14
"a","guaranteed",16
"a","guard",24
"a","guess",21
"a","guest",119
"a","guide",35
"a","guilty",13
"a","guinea",7
"a","guitar",34
"a","guitarist",7
"a","gulf",3
"a","gun",164
"a","gunshot",18
"a","gust",5
"a","guy",523
"a","gym",43
"a","gymnast",3
"a","h",6
"a","habit",50
"a","hail",8
"a","hair",38
"a","haircut",52
"a","half",479
"a","halfcentury",10
"a","halfhearted",5
"a","halfhour",17
"a","hall",19
"a","halloween",23
"a","hallway",14
"a","halt",25
"a","ham",10
"a","hamburger",10
"a","hammer",18
"a","hammock",10
"a","hand",119
"a","handful",205
"a","handgun",41
"a","handle",18
"a","handmade",19
"a","handout",5
"a","handsome",27
"a","handson",3
"a","handy",18
"a","hangar",4
"a","hanging",6
"a","hangover",24
"a","hankering",6
"a","happier",10
"a","happy",412
"a","harbinger",7
"a","hard",379
"a","hardcore",12
"a","harder",11
"a","hardline",4
"a","harley",8
"a","harsh",23
"a","harvest",4
"a","has",9
"a","hassle",5
"a","hat",56
"a","hatchet",4
"a","hateful",7
"a","haul",4
"a","haunted",8
"a","haunting",7
"a","hawaiian",5
"a","hawk",12
"a","he",16
"a","head",93
"a","headache",69
"a","headband",7
